Sample,X(ms) [18.02.2012 23:38:39 662 UTC],"Signals_DB.Heater_Tout","Signals_DB.Heater_Tout_SP","Signals_DB.Heater_Flow_SP","Signals_DB.Heater_Flow","Signals_DB.Heater_PWR"
32,1329608329262.993280,20,20,8.11773777008057,8.1899995803833,40
33,1329608329562.973360,20,20,8.15460109710693,8.21000003814697,40
34,1329608329863.026160,20,20,8.17012500762939,8.18000030517578,40
35,1329608330163.001320,20,20,8.17665863037109,8.14999961853027,40
36,1329608330462.979580,20,20,8.17941284179688,8.14000034332275,40
37,1329608330762.974640,20,20,8.18056869506836,8.15999984741211,40
38,1329608331062.969660,20,20,8.18105888366699,8.18000030517578,40
39,1329608331362.990880,20,20,8.1812629699707,8.1899995803833,40
40,1329608331663.366980,19.8999996185303,20,8.03846645355225,8.1899995803833,40
41,1329608331962.997620,19.8999996185303,20,8.03922653198242,8.19999980926514,40
42,1329608332262.994740,19.8999996185303,20,8.10558223724365,8.19999980926514,40
43,1329608332562.985120,19.8999996185303,20,8.13332557678223,8.1899995803833,40
44,1329608332863.004340,19.8999996185303,20,8.14481067657471,8.17000007629395,40
45,1329608333162.981780,20,20,8.2208890914917,8.14000034332275,40
46,1329608333462.971700,20,20,8.32944202423096,8.11999988555908,40
47,1329608333762.999060,20,20,8.24268913269043,8.10999965667725,40
48,1329608334062.956520,20,20,8.20615577697754,8.11999988555908,40
49,1329608334362.969920,20.1000003814697,20,8.33365345001221,8.11999988555908,40
50,1329608334662.996640,20,20,8.32645702362061,8.13000011444092,40
51,1329608334962.980420,20,20,8.04305839538574,8.14999961853027,40
52,1329608335262.972520,20,20,8.12242603302002,8.15999984741211,40
53,1329608335563.006700,20,20,8.15584659576416,8.15999984741211,40
54,1329608335863.021940,20,20,8.16991806030273,8.18000030517578,40
55,1329608336163.361920,20.1000003814697,20,8.17584323883057,8.19999980926514,40
56,1329608336463.032520,20.1000003814697,20,8.39266872406006,8.19999980926514,40
57,1329608336763.282840,20.1000003814697,20,8.2854642868042,8.15999984741211,40
58,1329608337063.019420,20.1000003814697,20,8.24052619934082,8.15999984741211,40
59,1329608337362.993840,20.1000003814697,20,8.2217960357666,8.1899995803833,40
60,1329608337662.992460,20.1000003814697,20,8.21411323547363,8.27000045776367,40
61,1329608337963.347940,20.1000003814697,20,8.21107196807861,8.32999992370605,40
62,1329608338263.017460,20.1000003814697,20,8.20999050140381,8.35999965667725,40
63,1329608338563.298820,20.1000003814697,20,8.20973682403564,8.35000038146973,40
64,1329608338863.032280,20,20,8.20982933044434,8.31999969482422,40
65,1329608339163.022980,20,20,7.99573421478271,8.28999996185303,40
66,1329608339463.354400,20,20,8.10428619384766,8.28999996185303,40
67,1329608339763.306180,19.8999996185303,20,8.07855701446533,8.23999977111816,40
68,1329608340063.014780,19.8999996185303,20,7.9909987449646,8.18000030517578,40
69,1329608340363.303100,19.8999996185303,20,8.08639907836914,8.14000034332275,40
70,1329608340663.013160,19.8999996185303,20,8.12637519836426,8.14000034332275,40
71,1329608340963.027960,19.8999996185303,20,8.14300918579102,8.13000011444092,40
72,1329608341263.034000,19.8999996185303,20,8.14981079101563,8.10999965667725,40
73,1329608341563.014760,19.8999996185303,20,8.15248012542725,8.10000038146973,40
74,1329608341862.996500,19.8999996185303,20,8.15340423583984,8.09000015258789,40
75,1329608342163.002680,19.8999996185303,20,8.15359783172607,8.06999969482422,40
76,1329608342463.008860,19.8999996185303,20,8.15347576141357,8.03999996185303,40
77,1329608342763.027300,19.8999996185303,20,8.15322971343994,8.02999973297119,40
78,1329608343063.019640,19.8999996185303,20,8.15292644500732,8.03999996185303,40
79,1329608343363.343520,19.8999996185303,20,8.15260028839111,8.06999969482422,40
80,1329608343663.023180,19.8999996185303,20,8.15226078033447,8.07999992370605,40
81,1329608343963.025820,19.8999996185303,20,8.15192127227783,8.09000015258789,40
82,1329608344263.292320,19.8999996185303,20,8.15158176422119,8.10000038146973,40
83,1329608344563.024080,19.8999996185303,20,8.15123844146729,8.10999965667725,40
84,1329608344863.002920,19.8999996185303,20,8.1508960723877,8.11999988555908,40
85,1329608345163.027220,20,20,8.15055274963379,8.11999988555908,40
86,1329608345463.014520,20,20,8.36453628540039,8.11999988555908,40
87,1329608345762.996660,20,20,8.25594139099121,8.13000011444092,40
88,1329608346063.027620,20,20,8.21021556854248,8.17000007629395,40
89,1329608346363.008680,20.1000003814697,40,7.5943341255188,8.21000003814697,40
90,1329608346663.024600,20.1000003814697,40,7.73193502426147,8.23999977111816,40
91,1329608346963.013540,20.1000003814697,40,7.55164289474487,8.19999980926514,40
92,1329608347263.274300,20.1000003814697,40,7.43619966506958,8.07999992370605,40
93,1329608347563.013060,20.1000003814697,40,7.34805583953857,7.92999982833862,40
94,1329608347863.004580,20.1000003814697,40,7.2714147567749,7.78999996185303,40
95,1329608348163.031120,20.1000003814697,40,7.19961452484131,7.67999982833862,40
96,1329608348463.027620,20.1000003814697,40,7.12985420227051,7.6100001335144,40
97,1329608348763.312500,20.1000003814697,40,7.06094789505005,7.57000017166138,40
98,1329608349063.018840,20.1000003814697,40,6.99240398406982,7.55000019073486,40
99,1329608349363.003860,20.1000003814697,40,6.92401695251465,7.51000022888184,40
100,1329608349663.024260,20.1000003814697,40,6.85568761825562,7.42000007629395,40
101,1329608349962.994500,20.1000003814697,40,6.78738975524902,7.34999990463257,40
102,1329608350263.025720,20.1000003814697,40,6.71910333633423,7.28000020980835,40
