Sample,X(ms) [28.03.2012 20:47:48 763 UTC],"Signals_DB.Heater_Flow_SP","Signals_DB.Heater_Flow","Signals_DB.Heater_Tout","Signals_DB.AutoOrManual"
8,1332967669563.972000,14.4732313156128,13.0900001525879,24,0
9,1332967669664.010220,14.4401559829712,13.0900001525879,24,0
10,1332967669764.007880,14.4401559829712,13.0900001525879,24,0
11,1332967669863.999960,14.4401559829712,13.0900001525879,24.1000003814697,0
12,1332967669964.011040,14.577052116394,13.0900001525879,24.1000003814697,0
13,1332967670063.699880,14.577052116394,13.0900001525879,24.1000003814697,0
14,1332967670163.682240,14.577052116394,13.0900001525879,24.1000003814697,0
15,1332967670264.076080,14.5817537307739,13.0900001525879,24.1000003814697,0
16,1332967670363.998120,14.5817537307739,13.0900001525879,24.1000003814697,0
17,1332967670463.981040,14.5817537307739,13.0900001525879,24.1000003814697,0
18,1332967670564.005860,14.5256462097168,13.0799999237061,24.1000003814697,0
19,1332967670663.985780,14.5256462097168,13.0699996948242,24.1000003814697,0
20,1332967670763.979380,14.5256462097168,13.0699996948242,24.1000003814697,0
21,1332967670863.987520,14.5101594924927,13.0699996948242,24.1000003814697,0
22,1332967670963.705260,14.5101594924927,13.0600004196167,24.1000003814697,0
23,1332967671063.696960,14.5101594924927,13.0600004196167,24.1000003814697,0
24,1332967671164.003020,14.5117816925049,13.0699996948242,24.1000003814697,0
25,1332967671264.005400,14.5117816925049,13.0600004196167,24.1000003814697,0
26,1332967671363.980060,14.5117816925049,13.0600004196167,24.1000003814697,0
27,1332967671464.026040,14.5206079483032,13.0600004196167,24.1000003814697,0
28,1332967671564.002460,14.5206079483032,13.0600004196167,24.1000003814697,0
29,1332967671663.702620,14.5206079483032,13.0600004196167,24.1000003814697,0
30,1332967671763.991920,14.532470703125,13.0600004196167,24.1000003814697,0
31,1332967671863.975060,14.532470703125,13.0600004196167,24.1000003814697,0
32,1332967671963.983920,14.532470703125,13.0600004196167,24.2000007629395,0
33,1332967672064.007340,14.6884918212891,13.0600004196167,24.2000007629395,0
34,1332967672164.016720,14.6884918212891,13.0600004196167,24.2000007629395,0
35,1332967672263.690180,14.6884918212891,13.0600004196167,24.2000007629395,0
36,1332967672364.021900,14.7014513015747,13.0600004196167,24.2000007629395,0
37,1332967672464.032900,14.7014513015747,13.0699996948242,24.2000007629395,0
38,1332967672563.992820,14.7014513015747,13.0699996948242,24.2000007629395,0
39,1332967672664.004300,14.6490097045898,13.0699996948242,24.2000007629395,0
40,1332967672763.704000,14.6490097045898,13.0699996948242,24.2000007629395,0
41,1332967672863.993880,14.6490097045898,13.0699996948242,24.2000007629395,0
42,1332967672964.031900,14.6352682113647,13.0699996948242,24.2000007629395,0
43,1332967673063.981000,14.6352682113647,13.0699996948242,24.2000007629395,0
44,1332967673164.029980,14.6352682113647,13.0600004196167,24.2000007629395,0
45,1332967673263.974320,14.6378259658813,13.0600004196167,24.2000007629395,0
46,1332967673363.682480,14.6378259658813,13.0699996948242,24.2000007629395,0
47,1332967673463.693420,14.6378259658813,13.0600004196167,24.2000007629395,0
48,1332967673564.021860,14.6472444534302,13.0600004196167,24.2000007629395,0
49,1332967673663.969900,14.6472444534302,13.0600004196167,24.1000003814697,0
50,1332967673763.975420,14.6472444534302,13.0600004196167,24.1000003814697,0
51,1332967673864.007260,14.445219039917,13.0600004196167,24.1000003814697,0
52,1332967673963.982420,14.445219039917,13.0600004196167,24.1000003814697,0
53,1332967674063.992020,14.445219039917,13.0600004196167,24.1000003814697,0
54,1332967674164.031820,14.5669984817505,13.0500001907349,24.1000003814697,0
55,1332967674263.686500,14.5669984817505,13.0500001907349,24.1000003814697,0
56,1332967674363.989060,14.5669984817505,13.0500001907349,24.1000003814697,0
57,1332967674464.019080,14.6264219284058,13.039999961853,24.1000003814697,0
58,1332967674563.703820,14.6264219284058,13.039999961853,24.1000003814697,0
59,1332967674663.690960,14.6264219284058,13.039999961853,24.1000003814697,0
60,1332967674764.018600,14.5881433486938,13.039999961853,24,0
61,1332967674863.975360,14.5881433486938,13.039999961853,24,0
62,1332967674963.991800,14.5881433486938,13.0500001907349,24,0
63,1332967675064.002480,14.503454208374,13.0500001907349,24,0
64,1332967675163.974660,14.503454208374,13.0500001907349,24,0
65,1332967675263.983380,14.503454208374,13.0500001907349,24,0
66,1332967675363.991460,14.6082029342651,13.0500001907349,24,0
67,1332967675463.970120,14.6082029342651,13.0500001907349,24,0
68,1332967675563.695280,14.6082029342651,13.0500001907349,24,0
69,1332967675663.995620,14.6602611541748,13.0500001907349,24,0
70,1332967675764.026480,14.6602611541748,13.0500001907349,24,0
71,1332967675863.959280,14.6602611541748,13.0600004196167,24,0
72,1332967675964.000480,14.6901216506958,13.0500001907349,24,0
73,1332967676064.006680,14.6901216506958,13.0500001907349,24,0
74,1332967676163.966120,14.6901216506958,13.0600004196167,24,0
75,1332967676264.055540,14.7106428146362,13.0600004196167,24,0
76,1332967676363.697860,14.7106428146362,13.0600004196167,24,0
77,1332967676463.976020,14.7106428146362,13.0699996948242,24,0
78,1332967676564.021640,14.7272300720215,13.0699996948242,24,0
79,1332967676663.998200,14.7272300720215,13.0699996948242,24,0
80,1332967676764.008720,14.7272300720215,13.0699996948242,24,0
81,1332967676863.979060,14.7421607971191,13.0699996948242,24,0
82,1332967676963.986060,14.7421607971191,13.0699996948242,24,0
83,1332967677063.672820,14.7421607971191,13.0600004196167,23.8999996185303,0
84,1332967677163.989520,14.6135091781616,13.0600004196167,23.8999996185303,0
