Sample,X(ms) [21.03.2012 03:10:24 063 UTC],"Signals_DB.Heater_Tout","Signals_DB.Heater_Tout_SP","Signals_DB.Heater_Flow_SP","Signals_DB.Heater_Flow","Signals_DB.Heater_PWR"
79,1332299447763.220700,20.6000003814697,40,7.53487253189087,8.02000045776367,40
80,1332299448063.246160,20.5,40,7.25607490539551,8.02000045776367,40
81,1332299448363.210840,20.5,40,7.28120183944702,7.98999977111816,40
82,1332299448663.235160,20.5,40,7.25482034683228,7.82999992370605,40
83,1332299448963.202640,20.5,40,7.22332096099854,7.59000015258789,40
84,1332299449263.242180,20.5,40,7.14591979980469,7.40999984741211,40
85,1332299449562.952300,20.6000003814697,40,7.33801937103271,7.32000017166138,40
86,1332299449863.234420,20.6000003814697,40,7.11199331283569,7.30000019073486,40
87,1332299450163.288920,20.6000003814697,40,7.03897714614868,7.32999992370605,40
88,1332299450463.228660,20.6000003814697,40,6.92441892623901,7.34999990463257,40
89,1332299450763.211180,20.6000003814697,40,6.87465906143188,7.3600001335144,40
90,1332299451063.250660,20.6000003814697,40,6.78105211257935,7.40000009536743,40
91,1332299451363.207120,20.6000003814697,40,6.73566436767578,7.48000001907349,40
92,1332299451663.237260,20.5,40,6.41175079345703,7.46999979019165,40
93,1332299451963.239280,20.5,40,6.45564365386963,7.28999996185303,40
94,1332299452263.254840,20.5,40,6.44615936279297,6.98999977111816,40
95,1332299452563.205100,20.5,40,6.41818809509277,6.76000022888184,40
96,1332299452863.251860,20.6000003814697,40,6.46108245849609,6.63000011444092,40
97,1332299453163.201260,20.6000003814697,40,6.49249505996704,6.59999990463257,40
98,1332299453463.284160,20.6000003814697,40,6.29686117172241,6.6399998664856,40
99,1332299453763.234280,20.6000003814697,40,6.23018503189087,6.69000005722046,40
100,1332299454063.245820,20.7000007629395,40,6.35558319091797,6.73000001907349,40
101,1332299454363.205100,20.7000007629395,40,6.21855497360229,6.76000022888184,40
102,1332299454663.226100,20.7000007629395,40,6.04657506942749,6.78000020980835,40
103,1332299454963.223540,20.7000007629395,40,5.9849705696106,6.76000022888184,40
104,1332299455263.357100,20.7000007629395,40,5.88094329833984,6.6100001335144,40
105,1332299455563.240600,20.7000007629395,40,5.83351182937622,6.42000007629395,40
106,1332299455863.225000,20.7000007629395,40,5.74225521087646,6.23999977111816,40
107,1332299456163.200980,20.7000007629395,40,5.69749212265015,6.1100001335144,40
108,1332299456463.231640,20.7000007629395,40,5.60863542556763,6,40
109,1332299456763.228820,20.7000007629395,40,5.56437158584595,5.94999980926514,40
110,1332299457063.270400,20.7000007629395,40,5.47596979141235,5.94999980926514,40
111,1332299457363.246760,20.7000007629395,40,5.43179702758789,5.94000005722046,40
112,1332299457663.236660,20.7000007629395,40,5.34348297119141,5.96999979019165,40
113,1332299457963.204960,20.6000003814697,40,5.18220663070679,6.01999998092651,40
114,1332299458263.310140,20.7000007629395,40,5.28054046630859,6.01000022888184,40
115,1332299458563.195300,20.7000007629395,40,5.20659637451172,5.86999988555908,40
116,1332299458863.225100,20.7000007629395,40,5.09145784378052,5.71000003814697,40
117,1332299459163.283420,20.7999992370605,40,5.27594423294067,5.6100001335144,40
118,1332299459463.267180,20.7999992370605,40,5.04357051849365,5.55999994277954,40
