Sample,X(ms) [19.02.2012 01:47:57 362 UTC],"Signals_DB.Heater_Tout","Signals_DB.Heater_Tout_SP","Signals_DB.Heater_Flow_SP","Signals_DB.Heater_Flow","Signals_DB.Heater_PWR"
47,1329616091463.309580,34.2000007629395,20,9.820387840271,4.82000017166138,40
48,1329616091763.267100,34,20,10.0509061813354,5.30000019073486,40
49,1329616092062.974500,34,20,9.95143032073975,5.75,40
50,1329616092363.257880,33.9000015258789,20,10.1257047653198,5.8899998664856,40
51,1329616092662.991920,33.7999992370605,20,10.1449718475342,5.55000019073486,40
52,1329616092962.996620,33.7000007629395,20,10.2364311218262,5.1399998664856,40
53,1329616093262.975380,33.5999984741211,20,10.291955947876,4.94000005722046,40
54,1329616093563.000880,33.5,20,10.2607469558716,5.19999980926514,40
55,1329616093862.973080,33.4000015258789,20,10.1876125335693,5.67999982833862,40
56,1329616094162.979920,33.2000007629395,20,10.1628036499023,6.01000022888184,40
57,1329616094462.972600,33,20,10.0866174697876,5.8600001335144,40
58,1329616094762.980360,32.9000015258789,20,10.0547122955322,5.42000007629395,40
59,1329616095063.278900,32.7999992370605,20,10.1840181350708,5.01000022888184,40
60,1329616095363.264500,32.7000007629395,20,10.1770706176758,4.8600001335144,40
61,1329616095662.971040,32.7000007629395,20,10.250189781189,5.19999980926514,40
62,1329616095962.980540,32.5999984741211,20,10.4334688186646,5.71999979019165,40
63,1329616096262.971200,32.5,20,10.3877010345459,6.09999990463257,40
64,1329616096563.261200,32.2999992370605,20,10.3777627944946,6.07000017166138,40
65,1329616096862.996900,32.2000007629395,20,10.2398328781128,5.61999988555908,40
66,1329616097162.998120,32,20,10.2515869140625,5.19000005722046,40
67,1329616097462.989400,31.8999996185303,20,10.1884145736694,4.96000003814697,40
68,1329616097762.975660,31.7999992370605,20,10.231050491333,5.17999982833862,40
69,1329616098063.263920,31.7000007629395,20,10.3946189880371,5.63000011444092,40
70,1329616098362.974020,31.6000003814697,20,10.4765243530273,5.98999977111816,40
71,1329616098662.963220,31.6000003814697,20,10.4524641036987,6.01000022888184,40
