Sample,X(ms) [28.03.2012 20:58:20 264 UTC],"Signals_DB.Heater_Flow_SP","Signals_DB.Heater_Flow","Signals_DB.Heater_Tout","Signals_DB.AutoOrManual"
8,1332968301064.247040,5.43486309051514,4.80999994277954,37.5999984741211,0
9,1332968301164.294460,5.50164031982422,4.80000019073486,37.5999984741211,0
10,1332968301264.285600,5.50164031982422,4.78999996185303,37.5999984741211,0
11,1332968301364.240400,5.50164031982422,4.78000020980835,37.5999984741211,0
12,1332968301464.267900,5.56471061706543,4.76999998092651,37.5999984741211,0
13,1332968301564.251540,5.56471061706543,4.76000022888184,37.5999984741211,0
14,1332968301664.221980,5.56471061706543,4.75,37.5999984741211,0
15,1332968301764.280940,5.62623500823975,4.73999977111816,37.5999984741211,0
16,1332968301864.215200,5.62623500823975,4.73000001907349,37.5999984741211,0
17,1332968301964.218340,5.62623500823975,4.73000001907349,37.7000007629395,0
18,1332968302064.252580,5.82999229431152,4.71999979019165,37.7000007629395,0
19,1332968302164.267360,5.82999229431152,4.71999979019165,37.7000007629395,0
20,1332968302264.233920,5.82999229431152,4.73000001907349,37.7000007629395,0
21,1332968302364.252660,5.88984680175781,4.73000001907349,37.7000007629395,0
22,1332968302464.246580,5.88984680175781,4.76000022888184,37.7999992370605,0
23,1332968302564.221120,5.88984680175781,4.82000017166138,37.7999992370605,0
24,1332968302664.302120,6.16974401473999,4.90999984741211,37.9000015258789,0
25,1332968302764.235260,6.16974401473999,4.98999977111816,37.9000015258789,0
26,1332968302864.188640,6.16974401473999,5.05999994277954,37.9000015258789,0
27,1332968302964.260880,6.20098924636841,5.1100001335144,37.9000015258789,0
28,1332968303064.249580,6.20098924636841,5.15000009536743,38,0
29,1332968303164.230800,6.20098924636841,5.19999980926514,38,0
30,1332968303264.220400,6.33154630661011,5.23999977111816,38,0
31,1332968303364.198600,6.33154630661011,5.26999998092651,38.0999984741211,0
32,1332968303464.232700,6.33154630661011,5.30000019073486,38.0999984741211,0
33,1332968303564.260840,6.50934982299805,5.32000017166138,38.2000007629395,0
34,1332968303664.225580,6.50934982299805,5.34000015258789,38.2000007629395,0
35,1332968303764.200620,6.50934982299805,5.34999990463257,38.2999992370605,0
36,1332968303864.303940,6.64107847213745,5.36999988555908,38.2999992370605,0
37,1332968303964.333200,6.64107847213745,5.3899998664856,38.4000015258789,0
38,1332968304064.212360,6.64107847213745,5.40999984741211,38.4000015258789,0
39,1332968304164.273560,6.82511377334595,5.42999982833862,38.5,0
40,1332968304264.211340,6.82511377334595,5.48999977111816,38.5,0
41,1332968304364.189760,6.82511377334595,5.55000019073486,38.5,0
42,1332968304464.254740,6.75092887878418,5.61999988555908,38.5,0
43,1332968304564.195360,6.75092887878418,5.69999980926514,38.5999984741211,0
44,1332968304664.229360,6.75092887878418,5.78999996185303,38.5999984741211,0
45,1332968304764.279320,6.83829832077026,5.88000011444092,38.5999984741211,0
46,1332968304864.242540,6.83829832077026,5.96000003814697,38.7000007629395,0
47,1332968304964.207480,6.83829832077026,6.01999998092651,38.7000007629395,0
48,1332968305064.246500,6.92766523361206,6.07000017166138,38.7000007629395,0
49,1332968305164.332680,6.92766523361206,6.1100001335144,38.7000007629395,0
50,1332968305264.199180,6.92766523361206,6.15000009536743,38.7999992370605,0
51,1332968305364.378580,6.9466118812561,6.17000007629395,38.7999992370605,0
52,1332968305464.222580,6.9466118812561,6.19000005722046,38.7999992370605,0
53,1332968305564.244360,6.9466118812561,6.19000005722046,38.7999992370605,0
54,1332968305664.290600,7.00228977203369,6.19000005722046,38.9000015258789,0
55,1332968305764.230260,7.00228977203369,6.17999982833862,38.9000015258789,0
56,1332968305864.217740,7.00228977203369,6.17999982833862,38.9000015258789,0
57,1332968305964.236440,7.07357454299927,6.17000007629395,38.9000015258789,0
58,1332968306064.236840,7.07357454299927,6.17000007629395,38.9000015258789,0
59,1332968306164.218960,7.07357454299927,6.15999984741211,38.9000015258789,0
60,1332968306264.269300,7.00865125656128,6.15999984741211,38.9000015258789,0
61,1332968306364.239920,7.00865125656128,6.17000007629395,39,0
62,1332968306464.205500,7.00865125656128,6.17999982833862,39,0
63,1332968306564.315280,7.23317384719849,6.17999982833862,39,0
64,1332968306664.270660,7.23317384719849,6.19000005722046,39,0
65,1332968306764.242060,7.23317384719849,6.19000005722046,39,0
66,1332968306864.218680,7.16676950454712,6.19999980926514,39,0
67,1332968306964.235940,7.16676950454712,6.23000001907349,39,0
68,1332968307064.188640,7.16676950454712,6.26000022888184,39,0
69,1332968307164.249620,7.24797964096069,6.30000019073486,39.0999984741211,0
70,1332968307264.224500,7.24797964096069,6.34000015258789,39.0999984741211,0
71,1332968307364.206280,7.24797964096069,6.36999988555908,39.0999984741211,0
72,1332968307464.258580,7.39663791656494,6.40000009536743,39.0999984741211,0
73,1332968307564.239380,7.39663791656494,6.44000005722046,39.0999984741211,0
74,1332968307664.190600,7.39663791656494,6.5,39.0999984741211,0
75,1332968307764.282540,7.36470317840576,6.55000019073486,39.0999984741211,0
76,1332968307864.230460,7.36470317840576,6.59000015258789,39.0999984741211,0
77,1332968307964.223340,7.36470317840576,6.63000011444092,39.0999984741211,0
78,1332968308064.258900,7.3891978263855,6.65999984741211,39.0999984741211,0
79,1332968308164.231340,7.3891978263855,6.69000005722046,39.0999984741211,0
80,1332968308264.273700,7.3891978263855,6.71999979019165,39.0999984741211,0
81,1332968308364.288080,7.43744993209839,6.73999977111816,39.0999984741211,0
82,1332968308464.282620,7.43744993209839,6.75,39.0999984741211,0
