Sample,X(ms) [01.04.2012 06:19:58 165 UTC],"Signals_DB.Heater_Flow_SP","Signals_DB.Heater_Flow","Signals_DB.Heater_Tout","Signals_DB.Tout_setpoint","Signals_to_S7protocol.INTERNAL.Communication_Error[%DB8.DBX32.0]"
8,1333261198965.288560,7.89805364608765,7.98000001907349,20.5,20,1
9,1333261199065.243560,7.89805364608765,7.96999979019165,20.5,20,1
10,1333261199165.320480,7.89836978912354,7.96000003814697,20.5,20,1
11,1333261199265.243080,7.89836978912354,7.96000003814697,20.5,20,1
12,1333261199365.263020,7.8990421295166,7.96000003814697,20.5,20,1
13,1333261199465.266600,7.8990421295166,7.94999980926514,20.5,20,1
14,1333261199565.284660,7.89991664886475,7.94999980926514,20.5,20,1
15,1333261199665.265740,7.89991664886475,7.94000005722046,20.5,20,1
16,1333261199765.274200,7.90090608596802,7.94000005722046,20.5,20,1
17,1333261199865.273500,7.90090608596802,7.94000005722046,20.5,20,1
18,1333261199965.304500,7.90195846557617,7.92999982833862,20.5,20,1
19,1333261200065.259060,7.90195846557617,7.92999982833862,20.5,20,1
20,1333261200165.330800,7.7859320640564,7.92999982833862,20.3999996185303,20,1
21,1333261200265.232480,7.7859320640564,7.92999982833862,20.3999996185303,20,1
22,1333261200365.278480,7.71415281295776,7.92999982833862,20.3999996185303,20,1
23,1333261200465.260120,7.71415281295776,7.92999982833862,20.3999996185303,20,1
24,1333261200565.367580,7.78479337692261,7.92999982833862,20.3999996185303,20,1
25,1333261200665.238740,7.78479337692261,7.92999982833862,20.3999996185303,20,1
26,1333261200765.325640,7.82565259933472,7.92000007629395,20.3999996185303,20,1
27,1333261200865.222700,7.82565259933472,7.92000007629395,20.3999996185303,20,1
28,1333261200965.381340,7.84944772720337,7.90999984741211,20.3999996185303,20,1
29,1333261201065.230020,7.84944772720337,7.90000009536743,20.3999996185303,20,1
30,1333261201165.328000,7.86347007751465,7.8899998664856,20.3999996185303,20,1
31,1333261201265.286860,7.86347007751465,7.8899998664856,20.3999996185303,20,1
32,1333261201365.256480,7.87188911437988,7.88000011444092,20.3999996185303,20,1
33,1333261201465.268620,7.87188911437988,7.86999988555908,20.3999996185303,20,1
34,1333261201565.284780,7.87710857391357,7.8600001335144,20.3999996185303,20,1
35,1333261201665.236120,7.87710857391357,7.8600001335144,20.5,20,1
36,1333261201765.327560,8.11472988128662,7.84999990463257,20.5,20,1
37,1333261201865.247120,8.11472988128662,7.84999990463257,20.5,20,1
38,1333261201965.297640,8.02859687805176,7.84999990463257,20.5,20,1
39,1333261202065.239180,8.02859687805176,7.84999990463257,20.5,20,1
40,1333261202165.270680,7.97974681854248,7.8600001335144,20.5,20,1
41,1333261202265.278480,7.97974681854248,7.84999990463257,20.5,20,1
42,1333261202365.370680,7.95225286483765,7.8600001335144,20.5,20,1
43,1333261202465.237980,7.95225286483765,7.8600001335144,20.5,20,1
44,1333261202565.293540,7.93698978424072,7.8600001335144,20.5,20,1
45,1333261202665.228300,7.93698978424072,7.8600001335144,20.5,20,1
46,1333261202765.303500,7.9287371635437,7.86999988555908,20.5,20,1
47,1333261202865.260440,7.9287371635437,7.8600001335144,20.3999996185303,20,1
48,1333261202965.276100,7.69025611877441,7.8600001335144,20.3999996185303,20,1
49,1333261203065.254500,7.69025611877441,7.86999988555908,20.3999996185303,20,1
50,1333261203165.328760,7.77677297592163,7.8600001335144,20.3999996185303,20,1
51,1333261203265.311900,7.77677297592163,7.8600001335144,20.3999996185303,20,1
52,1333261203365.311460,7.82672309875488,7.86999988555908,20.3999996185303,20,1
53,1333261203465.234780,7.82672309875488,7.8600001335144,20.3999996185303,20,1
54,1333261203565.266120,7.73860692977905,7.8600001335144,20.2999992370605,20,1
55,1333261203665.275460,7.73860692977905,7.84999990463257,20.2999992370605,20,1
56,1333261203765.282720,7.68272399902344,7.84999990463257,20.2999992370605,20,1
57,1333261203865.246600,7.68272399902344,7.82999992370605,20.2999992370605,20,1
58,1333261203965.251080,7.76237106323242,7.82999992370605,20.2999992370605,20,1
59,1333261204065.286180,7.76237106323242,7.82000017166138,20.2999992370605,20,1
60,1333261204165.283460,7.80828714370728,7.80000019073486,20.2999992370605,20,1
61,1333261204265.384760,7.80828714370728,7.78000020980835,20.2999992370605,20,1
62,1333261204365.290340,7.83488321304321,7.76999998092651,20.2999992370605,20,1
63,1333261204465.255840,7.83488321304321,7.75,20.2999992370605,20,1
64,1333261204565.303320,7.8504114151001,7.73999977111816,20.2999992370605,20,1
65,1333261204665.261240,7.8504114151001,7.73000001907349,20.2999992370605,20,1
66,1333261204765.278560,7.85959911346436,7.71999979019165,20.2999992370605,20,1
67,1333261204865.230280,7.85959911346436,7.71999979019165,20.2999992370605,20,1
68,1333261204965.403280,7.86515617370605,7.71000003814697,20.2999992370605,20,1
69,1333261205065.236020,7.86515617370605,7.71000003814697,20.2999992370605,20,1
70,1333261205165.275380,7.86862993240356,7.71000003814697,20.2999992370605,20,1
71,1333261205265.242920,7.86862993240356,7.71999979019165,20.2999992370605,20,1
72,1333261205365.301900,7.87091684341431,7.71999979019165,20.2999992370605,20,1
73,1333261205465.334040,7.87091684341431,7.71999979019165,20.2999992370605,20,1
74,1333261205565.280240,7.87251710891724,7.73000001907349,20.2999992370605,20,1
75,1333261205665.288680,7.87251710891724,7.73000001907349,20.2999992370605,20,1
76,1333261205765.330460,7.87372636795044,7.73999977111816,20.2999992370605,20,1
77,1333261205865.270220,7.87372636795044,7.73999977111816,20.2999992370605,20,1
78,1333261205965.282960,7.87471342086792,7.73999977111816,20.2999992370605,20,1
79,1333261206065.281660,7.87471342086792,7.73999977111816,20.2999992370605,20,1
80,1333261206165.284000,7.87557411193848,7.75,20.2999992370605,20,1
81,1333261206265.267560,7.87557411193848,7.75,20.2999992370605,20,1
82,1333261206365.311480,7.87635898590088,7.75,20.2999992370605,20,1
83,1333261206465.245260,7.87635898590088,7.75,20.2999992370605,20,1
84,1333261206565.264100,7.87710094451904,7.75,20.2999992370605,20,1
85,1333261206665.231460,7.87710094451904,7.75,20.2999992370605,20,1
86,1333261206765.376640,7.8778190612793,7.75,20.2999992370605,20,1
87,1333261206865.230460,7.8778190612793,7.75,20.2999992370605,20,1
88,1333261206965.303240,7.87852096557617,7.75,20.2999992370605,20,1
89,1333261207065.268880,7.87852096557617,7.76000022888184,20.2999992370605,20,1
90,1333261207165.262180,7.87921905517578,7.76000022888184,20.2999992370605,20,1
91,1333261207265.305760,7.87921905517578,7.76000022888184,20.2999992370605,20,1
92,1333261207365.262520,7.87991333007813,7.76999998092651,20.2999992370605,20,1
93,1333261207465.232500,7.87991333007813,7.78000020980835,20.2999992370605,20,1
94,1333261207565.393280,7.88060331344604,7.78000020980835,20.2999992370605,20,1
95,1333261207665.245400,7.88060331344604,7.78000020980835,20.2999992370605,20,1
96,1333261207765.258400,7.88128995895386,7.78999996185303,20.2999992370605,20,1
97,1333261207865.282140,7.88128995895386,7.80000019073486,20.2999992370605,20,1
98,1333261207965.291440,7.88197946548462,7.80000019073486,20.2999992370605,20,1
99,1333261208064.958020,7.88197946548462,7.80999994277954,20.2999992370605,20,1
100,1333261208165.324140,7.88266658782959,7.82000017166138,20.2999992370605,20,1
101,1333261208265.249800,7.88266658782959,7.82000017166138,20.2999992370605,20,1
102,1333261208365.263440,7.76623296737671,7.82999992370605,20.2000007629395,20,1
103,1333261208465.289920,7.76623296737671,7.82999992370605,20.2000007629395,20,1
104,1333261208565.280880,7.69402933120728,7.82999992370605,20.2000007629395,20,1
105,1333261208665.256000,7.69402933120728,7.82999992370605,20.2000007629395,20,1
106,1333261208765.358920,7.76422834396362,7.82999992370605,20.2000007629395,20,1
107,1333261208865.265960,7.76422834396362,7.82999992370605,20.2000007629395,20,1
108,1333261208965.247540,7.80463743209839,7.82999992370605,20.2000007629395,20,1
109,1333261209065.339640,7.80463743209839,7.84000015258789,20.2000007629395,20,1
110,1333261209165.261100,7.82797956466675,7.82999992370605,20.2000007629395,20,1
111,1333261209265.236900,7.82797956466675,7.82999992370605,20.2000007629395,20,1
112,1333261209365.301180,7.84154796600342,7.82999992370605,20.2000007629395,20,1
113,1333261209465.299260,7.84154796600342,7.82999992370605,20.2000007629395,20,1
114,1333261209565.292840,7.84951305389404,7.82000017166138,20.2000007629395,20,1
115,1333261209665.302340,7.84951305389404,7.82000017166138,20.2000007629395,20,1
116,1333261209765.329860,7.85427141189575,7.82000017166138,20.2000007629395,20,1
117,1333261209865.268700,7.85427141189575,7.82999992370605,20.2000007629395,20,1
118,1333261209965.274820,7.85719585418701,7.82999992370605,20.2000007629395,20,1
119,1333261210065.262300,7.85719585418701,7.82999992370605,20.2000007629395,20,1
120,1333261210165.293580,7.85906314849854,7.84000015258789,20.2000007629395,20,1
121,1333261210265.230740,7.85906314849854,7.84000015258789,20.2000007629395,20,1
122,1333261210365.295160,7.86032867431641,7.84000015258789,20.2000007629395,20,1
123,1333261210465.232840,7.86032867431641,7.84000015258789,20.2000007629395,20,1
124,1333261210565.293360,7.8612494468689,7.84000015258789,20.2000007629395,20,1
125,1333261210665.257580,7.8612494468689,7.84000015258789,20.2000007629395,20,1
126,1333261210765.273900,7.86197185516357,7.82999992370605,20.2000007629395,20,1
127,1333261210865.269140,7.86197185516357,7.82999992370605,20.2000007629395,20,1
128,1333261210965.282760,7.86258363723755,7.82999992370605,20.2000007629395,20,1
129,1333261211065.263840,7.86258363723755,7.82000017166138,20.2999992370605,20,1
130,1333261211165.401660,8.09736347198486,7.82000017166138,20.2999992370605,20,1
131,1333261211265.245620,8.09736347198486,7.82000017166138,20.2999992370605,20,1
132,1333261211365.320680,8.00941848754883,7.80999994277954,20.2999992370605,20,1
133,1333261211465.256080,8.00941848754883,7.80999994277954,20.2999992370605,20,1
134,1333261211565.332440,7.95933151245117,7.80999994277954,20.2999992370605,20,1
135,1333261211665.247620,7.95933151245117,7.82999992370605,20.2999992370605,20,1
136,1333261211765.281160,7.93093204498291,7.84999990463257,20.2999992370605,20,1
137,1333261211865.231860,7.93093204498291,7.86999988555908,20.2999992370605,20,1
138,1333261211965.279700,7.91495847702026,7.8899998664856,20.2999992370605,20,1
139,1333261212065.236120,7.91495847702026,7.90999984741211,20.2999992370605,20,1
140,1333261212165.341460,7.90609788894653,7.94000005722046,20.2999992370605,20,1
141,1333261212265.254100,7.90609788894653,7.96000003814697,20.2999992370605,20,1
142,1333261212365.277860,7.90131902694702,7.98000001907349,20.2999992370605,20,1
143,1333261212465.259100,7.90131902694702,8,20.2999992370605,20,1
144,1333261212565.296800,7.89887762069702,8.01000022888184,20.2999992370605,20,1
145,1333261212665.246740,7.89887762069702,8.02999973297119,20.2999992370605,20,1
146,1333261212765.289580,7.89776563644409,8.03999996185303,20.2999992370605,20,1
147,1333261212865.241640,7.89776563644409,8.05000019073486,20.2999992370605,20,1
148,1333261212965.283620,7.89742660522461,8.05000019073486,20.2999992370605,20,1
149,1333261213065.245480,7.89742660522461,8.05000019073486,20.2999992370605,20,1
150,1333261213165.268920,7.89752244949341,8.05000019073486,20.2999992370605,20,1
151,1333261213265.259560,7.89752244949341,8.05000019073486,20.2999992370605,20,1
152,1333261213365.321560,7.89787244796753,8.03999996185303,20.2999992370605,20,1
153,1333261213465.233200,7.89787244796753,8.03999996185303,20.2999992370605,20,1
154,1333261213565.316080,7.89836835861206,8.03999996185303,20.2999992370605,20,1
155,1333261213665.249920,7.89836835861206,8.02999973297119,20.2999992370605,20,1
156,1333261213765.265160,8.01605892181396,8.02000045776367,20.3999996185303,20,1
157,1333261213865.264520,8.01605892181396,8.02000045776367,20.3999996185303,20,1
158,1333261213965.262800,8.08958053588867,8.02000045776367,20.3999996185303,20,1
159,1333261214065.304960,8.08958053588867,8.02000045776367,20.3999996185303,20,1
160,1333261214165.288520,8.02071380615234,8.02000045776367,20.3999996185303,20,1
161,1333261214265.234860,8.02071380615234,8.02000045776367,20.3999996185303,20,1
162,1333261214365.250540,7.98165369033813,8.02999973297119,20.3999996185303,20,1
163,1333261214465.283860,7.98165369033813,8.02999973297119,20.3999996185303,20,1
164,1333261214565.358160,7.84254932403564,8.03999996185303,20.2999992370605,20,1
165,1333261214665.349560,7.84254932403564,8.05000019073486,20.2999992370605,20,1
166,1333261214765.260860,7.75745820999146,8.05000019073486,20.2999992370605,20,1
167,1333261214865.233200,7.75745820999146,8.0600004196167,20.2999992370605,20,1
168,1333261214965.304040,7.82037448883057,8.06999969482422,20.2999992370605,20,1
169,1333261215065.249100,7.82037448883057,8.07999992370605,20.2999992370605,20,1
170,1333261215165.275260,7.85670804977417,8.07999992370605,20.2999992370605,20,1
171,1333261215265.266860,7.85670804977417,8.09000015258789,20.2999992370605,20,1
172,1333261215365.331400,7.87781524658203,8.07999992370605,20.2999992370605,20,1
173,1333261215465.244080,7.87781524658203,8.07999992370605,20.2000007629395,20,1
174,1333261215565.341220,7.65596103668213,8.07999992370605,20.2000007629395,20,1
175,1333261215665.308500,7.65596103668213,8.06999969482422,20.2000007629395,20,1
176,1333261215765.298680,7.75180435180664,8.0600004196167,20.2000007629395,20,1
177,1333261215865.247160,7.75180435180664,8.05000019073486,20.2000007629395,20,1
178,1333261215965.283180,7.80690097808838,8.02999973297119,20.2000007629395,20,1
179,1333261216065.253720,7.80690097808838,8.01000022888184,20.2000007629395,20,1
180,1333261216165.326440,7.83865737915039,7.98999977111816,20.2000007629395,20,1
181,1333261216265.255840,7.83865737915039,7.96000003814697,20.2000007629395,20,1
182,1333261216365.300620,7.85704565048218,7.94000005722046,20.2000007629395,20,1
183,1333261216465.333420,7.85704565048218,7.92000007629395,20.2000007629395,20,1
184,1333261216565.384980,7.86777114868164,7.90000009536743,20.2000007629395,20,1
185,1333261216665.246820,7.86777114868164,7.88000011444092,20.2000007629395,20,1
186,1333261216765.307180,7.8741135597229,7.8600001335144,20.2000007629395,20,1
187,1333261216865.244340,7.8741135597229,7.84999990463257,20.2000007629395,20,1
188,1333261216965.299180,7.87794065475464,7.84000015258789,20.2000007629395,20,1
189,1333261217064.963820,7.87794065475464,7.82999992370605,20.2000007629395,20,1
190,1333261217165.341560,7.88032674789429,7.82000017166138,20.2000007629395,20,1
191,1333261217265.291020,7.88032674789429,7.82000017166138,20.2000007629395,20,1
192,1333261217365.297440,7.8818883895874,7.80999994277954,20.2000007629395,20,1
193,1333261217465.245320,7.8818883895874,7.80999994277954,20.2000007629395,20,1
194,1333261217565.295060,7.88298368453979,7.80000019073486,20.2000007629395,20,1
195,1333261217665.249120,7.88298368453979,7.78999996185303,20.2000007629395,20,1
196,1333261217765.319640,7.88380193710327,7.78000020980835,20.2000007629395,20,1
197,1333261217865.253560,7.88380193710327,7.78000020980835,20.2000007629395,20,1
198,1333261217965.266080,7.88446521759033,7.78000020980835,20.2000007629395,20,1
199,1333261218065.294180,7.88446521759033,7.76999998092651,20.2000007629395,20,1
200,1333261218165.439240,7.88504505157471,7.76999998092651,20.2000007629395,20,1
201,1333261218265.320360,7.88504505157471,7.76000022888184,20.2000007629395,20,1
202,1333261218365.313420,7.88557052612305,7.76999998092651,20.2000007629395,20,1
203,1333261218465.223140,7.88557052612305,7.76999998092651,20.2000007629395,20,1
204,1333261218565.326940,7.88606739044189,7.76999998092651,20.2000007629395,20,1
