Sample,X(ms) [01.04.2012 06:54:40 565 UTC],"Signals_DB.Heater_Flow_SP","Signals_DB.Heater_Flow","Signals_DB.Heater_Tout","Signals_DB.Tout_setpoint","Signals_to_S7protocol.INTERNAL.Communication_Error[%DB8.DBX32.0]"
8,1333263281365.283920,3.83137607574463,3.8199999332428,30.1000003814697,30,1
9,1333263281465.231120,3.83137607574463,3.8199999332428,30.1000003814697,30,1
10,1333263281565.237640,3.83160471916199,3.8199999332428,30.1000003814697,30,1
11,1333263281665.232560,3.83160471916199,3.8199999332428,30.1000003814697,30,1
12,1333263281765.254340,3.83183360099792,3.8199999332428,30.1000003814697,30,1
13,1333263281865.220440,3.83183360099792,3.82999992370605,30.1000003814697,30,1
14,1333263281965.263760,3.83206224441528,3.8199999332428,30.1000003814697,30,1
15,1333263282065.232320,3.83206224441528,3.82999992370605,30.1000003814697,30,1
16,1333263282165.307160,3.83229112625122,3.82999992370605,30.1000003814697,30,1
17,1333263282265.226960,3.83229112625122,3.8199999332428,30.1000003814697,30,1
18,1333263282365.244620,3.83251976966858,3.8199999332428,30.1000003814697,30,1
19,1333263282465.242740,3.83251976966858,3.82999992370605,30.1000003814697,30,1
20,1333263282565.270360,3.83274865150452,3.82999992370605,30.1000003814697,30,1
21,1333263282665.277020,3.83274865150452,3.8199999332428,30.1000003814697,30,1
22,1333263282765.245200,3.83297753334045,3.82999992370605,30.1000003814697,30,1
23,1333263282865.260700,3.83297753334045,3.82999992370605,30.1000003814697,30,1
24,1333263282965.300440,3.83320617675781,3.82999992370605,30.1000003814697,30,1
25,1333263283065.225980,3.83320617675781,3.8199999332428,30.1000003814697,30,1
26,1333263283165.295860,3.83343482017517,3.8199999332428,30.1000003814697,30,1
27,1333263283265.234080,3.83343482017517,3.8199999332428,30.1000003814697,30,1
28,1333263283365.282120,3.83366346359253,3.8199999332428,30.1000003814697,30,1
29,1333263283465.341440,3.83366346359253,3.8199999332428,30.1000003814697,30,1
30,1333263283565.381500,3.83389234542847,3.82999992370605,30.1000003814697,30,1
31,1333263283665.231160,3.83389234542847,3.82999992370605,30.1000003814697,30,1
32,1333263283765.345540,3.8341212272644,3.82999992370605,30.1000003814697,30,1
33,1333263283865.238180,3.8341212272644,3.82999992370605,30.1000003814697,30,1
34,1333263283965.262740,3.83434987068176,3.82999992370605,30.1000003814697,30,1
35,1333263284065.263720,3.83434987068176,3.82999992370605,30.1000003814697,30,1
36,1333263284165.284300,3.8345787525177,3.82999992370605,30.1000003814697,30,1
37,1333263284265.261880,3.8345787525177,3.83999991416931,30.1000003814697,30,1
38,1333263284365.308820,3.83480739593506,3.83999991416931,30.1000003814697,30,1
39,1333263284465.250120,3.83480739593506,3.82999992370605,30.1000003814697,30,1
40,1333263284565.277980,3.835036277771,3.82999992370605,30.1000003814697,30,1
41,1333263284665.232700,3.835036277771,3.83999991416931,30.1000003814697,30,1
42,1333263284765.272580,3.83526515960693,3.83999991416931,30.1000003814697,30,1
43,1333263284865.254800,3.83526515960693,3.83999991416931,30.1000003814697,30,1
44,1333263284965.278880,3.83549356460571,3.83999991416931,30.1000003814697,30,1
45,1333263285065.232600,3.83549356460571,3.83999991416931,30.1000003814697,30,1
46,1333263285165.379220,3.83572244644165,3.83999991416931,30.1000003814697,30,1
47,1333263285265.222120,3.83572244644165,3.83999991416931,30,30,1
48,1333263285365.287420,3.83572244644165,3.83999991416931,30,27,0
49,1333263285465.326100,3.83572244644165,3.82999992370605,30,27,0
50,1333263285565.270200,3.85514783859253,3.83999991416931,30,27,0
51,1333263285665.219400,3.85514783859253,3.83999991416931,30,27,0
52,1333263285765.252820,3.85514783859253,3.82999992370605,30,27,0
53,1333263285865.226640,3.85514783859253,3.82999992370605,30,27,0
54,1333263285965.242000,3.85514783859253,3.83999991416931,30,27,0
55,1333263286065.233740,3.85514783859253,3.82999992370605,30,27,0
56,1333263286165.252720,3.87448167800903,3.82999992370605,30,27,0
57,1333263286265.344580,3.87448167800903,3.83999991416931,30,27,0
58,1333263286365.232280,3.89372634887695,3.83999991416931,30,27,0
59,1333263286465.255240,3.89372634887695,3.83999991416931,30,27,0
60,1333263286565.254020,3.89372634887695,3.83999991416931,30,27,0
61,1333263286665.379520,3.89372634887695,3.83999991416931,30,27,0
62,1333263286765.321360,3.89372634887695,3.82999992370605,30,27,0
63,1333263286865.223200,3.89372634887695,3.83999991416931,30,27,0
64,1333263286965.248520,3.91288256645203,3.83999991416931,30,27,0
65,1333263287065.266700,3.91288256645203,3.83999991416931,30,27,0
66,1333263287165.278080,3.91288256645203,3.83999991416931,30,27,0
67,1333263287265.287420,3.93194842338562,3.83999991416931,30,27,0
68,1333263287365.245680,3.93194842338562,3.83999991416931,30,27,0
69,1333263287465.238800,3.93194842338562,3.83999991416931,30,27,0
70,1333263287565.314560,3.95091938972473,3.83999991416931,30,27,0
71,1333263287665.252420,3.95091938972473,3.83999991416931,30,27,0
72,1333263287765.228240,3.95091938972473,3.84999990463257,30,27,0
73,1333263287865.258800,3.96979999542236,3.84999990463257,30.1000003814697,27,0
74,1333263287965.335240,3.96979999542236,3.84999990463257,30.1000003814697,27,0
75,1333263288065.230480,3.96979999542236,3.84999990463257,30.1000003814697,27,0
76,1333263288165.257900,3.96979999542236,3.84999990463257,30.1000003814697,27,0
77,1333263288265.263140,3.96979999542236,3.84999990463257,30.1000003814697,27,0
78,1333263288365.225720,3.96979999542236,3.84999990463257,30.1000003814697,27,0
79,1333263288465.273420,3.98924422264099,3.84999990463257,30.1000003814697,27,0
