35,000	35,000	0,000	15,000	4,090	2,000
34,400	35,000	0,000	15,000	3,940	2,000
33,900	35,000	0,000	15,000	3,940	2,000
33,400	35,000	0,000	15,000	3,910	2,000
33,000	35,000	0,000	15,000	3,970	2,000
32,600	35,000	100,000	15,000	3,870	2,000
32,200	35,000	100,000	15,000	3,680	2,000
31,600	35,000	100,000	15,000	3,700	2,000
31,200	35,000	100,000	15,000	4,000	2,000
30,800	35,000	100,000	15,000	4,320	2,000
30,400	35,000	100,000	15,000	4,300	2,000
30,000	35,000	100,000	15,000	4,170	2,000
29,800	35,000	100,000	15,000	4,130	2,000
29,300	35,000	100,000	15,000	4,040	2,000
28,900	35,000	100,000	15,000	3,950	2,000
28,600	35,000	100,000	15,000	3,950	2,000
28,200	35,000	100,000	15,000	3,860	2,000
27,900	35,000	100,000	15,000	3,710	2,000
27,700	35,000	100,000	15,000	3,740	2,000
27,500	35,000	100,000	15,000	3,820	2,000
27,200	35,000	100,000	15,000	4,040	2,000
27,000	35,000	100,000	15,000	4,360	2,000
26,800	35,000	100,000	15,000	4,350	2,000
26,600	35,000	100,000	15,000	4,160	2,000
26,200	35,000	100,000	15,000	4,080	2,000
25,600	35,000	100,000	15,000	3,900	2,000
25,100	35,000	100,000	15,000	3,820	2,000
24,700	35,000	100,000	15,000	3,820	2,000
24,400	35,000	100,000	15,000	3,880	2,000
24,300	35,000	100,000	15,000	3,950	2,000
24,200	35,000	100,000	15,000	3,820	2,000
24,200	35,000	100,000	15,000	3,840	2,000
24,200	35,000	100,000	15,000	4,040	2,000
24,200	35,000	100,000	15,000	4,310	2,000
24,200	35,000	100,000	15,000	4,190	2,000
24,200	35,000	100,000	15,000	4,130	2,000
24,100	35,000	100,000	15,000	4,070	2,000
24,100	35,000	100,000	15,000	4,020	2,000
24,100	35,000	100,000	15,000	3,950	2,000
24,200	35,000	100,000	15,000	3,970	2,000
24,300	35,000	100,000	15,000	3,980	2,000
24,600	35,000	100,000	15,000	4,000	2,000
24,800	35,000	100,000	15,000	3,840	2,000
25,000	35,000	100,000	15,000	3,800	2,000
25,400	35,000	100,000	15,000	3,810	2,000
25,600	35,000	100,000	15,000	4,010	2,000
25,800	35,000	100,000	15,000	4,270	2,000
26,000	35,000	100,000	15,000	4,170	2,000
26,200	35,000	100,000	15,000	4,030	2,000
26,400	35,000	100,000	15,000	4,020	2,000
26,900	35,000	100,000	15,000	3,940	2,000
27,400	35,000	100,000	15,000	3,820	2,000
27,600	35,000	100,000	15,000	3,870	2,000
27,900	35,000	100,000	15,000	3,920	2,000
28,300	35,000	100,000	15,000	4,020	2,000
28,700	35,000	100,000	15,000	4,170	2,000
29,100	35,000	100,000	15,000	4,230	2,000
29,400	35,000	100,000	15,000	4,120	2,000
29,600	35,000	100,000	15,000	3,980	2,000
29,900	35,000	100,000	15,000	3,990	2,000
30,200	35,000	100,000	15,000	3,870	2,000
30,700	35,000	100,000	15,000	3,680	2,000
31,200	35,000	100,000	15,000	3,820	2,000
31,600	35,000	100,000	15,000	3,930	2,000
31,800	35,000	100,000	15,000	4,230	2,000
32,000	35,000	100,000	15,000	4,330	2,000
32,300	35,000	100,000	15,000	4,180	2,000
32,600	35,000	100,000	15,000	4,070	2,000
33,000	35,000	100,000	15,000	4,060	2,000
33,300	35,000	100,000	15,000	3,920	2,000
33,600	35,000	100,000	15,000	3,870	2,000
34,000	35,000	100,000	15,000	3,910	2,000
34,200	35,000	100,000	15,000	3,810	2,000
34,500	35,000	100,000	15,000	3,760	2,000
35,000	35,000	100,000	14,900	3,910	2,000
35,400	35,000	100,000	14,900	3,920	2,000
35,800	35,000	100,000	14,900	4,090	2,000
36,400	35,000	100,000	14,900	4,400	2,000
37,000	35,000	100,000	14,900	4,310	2,000
37,400	35,000	0,000	14,900	4,090	2,000
37,600	35,000	0,000	14,900	4,040	2,000
37,700	35,000	0,000	14,900	3,950	2,000
37,900	35,000	0,000	14,900	3,860	2,000
38,300	35,000	0,000	14,900	3,930	2,000
38,800	35,000	0,000	14,900	3,960	2,000
39,300	35,000	0,000	14,900	3,880	2,000
39,500	35,000	0,000	14,900	3,900	2,000
39,800	35,000	0,000	14,900	3,860	2,000
40,200	35,000	0,000	14,900	3,890	2,000
40,500	35,000	0,000	14,900	4,210	2,000
40,800	35,000	0,000	14,900	4,320	2,000
41,100	35,000	0,000	14,900	4,260	2,000
41,600	35,000	0,000	14,900	4,180	2,000
42,100	35,000	0,000	14,900	4,070	2,000
42,600	35,000	0,000	14,900	3,890	2,000
43,100	35,000	0,000	14,900	3,870	2,000
43,300	35,000	0,000	14,900	3,830	2,000
43,500	35,000	0,000	14,900	3,700	2,000
43,700	35,000	0,000	14,900	3,760	2,000
43,800	35,000	0,000	14,900	3,890	2,000
43,800	35,000	0,000	14,900	3,950	2,000
43,800	35,000	0,000	14,900	4,210	2,000
43,800	35,000	0,000	14,900	4,380	2,000
43,800	35,000	0,000	14,900	4,210	2,000
43,800	35,000	0,000	14,900	4,060	2,000
43,900	35,000	0,000	14,900	3,960	2,000
44,000	35,000	0,000	14,900	3,690	2,000
44,000	35,000	0,000	14,900	3,640	2,000
44,000	35,000	0,000	14,900	3,750	2,000
44,000	35,000	0,000	14,900	3,760	2,000
44,000	35,000	0,000	14,900	3,830	2,000
44,000	35,000	0,000	14,900	3,970	2,000
44,000	35,000	0,000	14,900	3,920	2,000
44,000	35,000	0,000	14,900	3,890	2,000
43,900	35,000	0,000	14,900	3,970	2,000
43,800	35,000	0,000	14,900	3,930	2,000
