38,600	38,000	14,100	4,090	49,685
38,600	38,000	14,100	4,120	49,662
38,700	38,000	14,100	4,050	49,182
38,700	38,000	14,100	3,960	49,156
38,700	38,000	14,100	3,910	49,130
38,700	38,000	14,100	3,900	49,104
38,800	38,000	14,100	3,980	48,620
38,800	38,000	14,100	4,030	48,590
38,700	38,000	14,100	4,060	49,018
38,700	38,000	14,100	4,160	48,992
38,700	38,000	14,100	4,120	48,966
38,700	38,000	14,100	3,990	48,940
38,700	38,000	14,100	3,970	48,914
38,700	38,000	14,100	3,990	48,888
38,700	38,000	14,100	3,940	48,862
38,700	38,000	14,100	3,940	48,836
38,600	38,000	14,100	3,970	49,268
38,600	38,000	14,100	4,030	49,245
38,600	38,000	14,100	4,090	49,223
38,600	38,000	14,100	4,110	49,201
38,600	38,000	14,100	4,030	49,178
38,500	38,000	14,100	3,980	49,614
38,500	38,000	14,100	3,970	49,595
38,500	38,000	14,100	3,950	49,577
38,500	38,000	14,100	3,940	49,558
38,500	38,000	14,100	3,930	49,540
38,400	38,000	14,100	3,950	49,979
38,400	38,000	14,100	3,990	49,964
38,300	38,000	14,100	4,060	50,407
38,300	38,000	14,100	4,080	50,396
38,300	38,000	14,100	4,060	50,385
38,300	38,000	14,100	3,810	50,374
38,300	38,000	14,100	3,880	50,363
38,300	38,000	14,100	3,680	50,351
38,200	38,000	14,100	3,700	50,798
38,200	38,000	14,100	4,030	50,791
38,200	38,000	14,100	4,030	50,783
38,200	38,000	14,100	4,280	50,776
38,100	38,000	14,100	4,850	51,226
38,100	38,000	14,100	4,810	51,223
38,100	38,000	14,100	4,190	51,219
38,100	38,000	14,100	4,060	51,215
38,000	38,000	14,100	4,000	51,670
38,000	38,000	14,100	3,890	51,670
37,900	38,000	14,100	4,050	52,128
37,900	38,000	14,100	4,130	52,131
37,800	38,000	14,100	4,100	52,593
37,800	38,000	14,100	4,060	52,600
37,800	38,000	14,100	4,000	52,608
37,700	38,000	14,100	3,940	53,073
37,600	38,000	14,100	3,960	53,543
37,600	38,000	14,100	3,910	53,557
37,500	38,000	14,100	3,930	54,030
37,500	38,000	14,100	4,060	54,049
37,500	38,000	14,100	4,110	54,068
37,500	38,000	14,100	4,130	54,086
37,500	38,000	14,100	4,040	54,105
37,400	38,000	14,100	3,950	54,581
37,400	38,000	14,100	3,930	54,604
37,400	38,000	14,100	3,910	54,626
37,400	38,000	14,100	3,940	54,648
37,300	38,000	14,100	3,980	55,129
37,300	38,000	14,100	4,160	55,155
37,300	38,000	14,100	4,130	55,181
37,300	38,000	14,100	4,020	55,207
37,200	38,000	14,100	3,990	55,691
