Sample,X(ms) [11.12.2014 00:16:35 695 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
152391,1418257167328.304737,100,163,848,60
152392,1418257167329.351737,100,163,848,60
152393,1418257167330.387737,100,163,848,60
152394,1418257167331.413737,100,163,848,60
152395,1418257167332.445737,100,163,848,60
152396,1418257167333.490737,100,163,848,60
152397,1418257167334.552737,100,163,848,60
152398,1418257167335.667737,100,163,848,60
152399,1418257167336.631737,100,163,848,60
152400,1418257167337.662737,100,163,848,60
152401,1418257167338.927737,100,163,848,60
152402,1418257167339.844737,100,163,848,60
152403,1418257167340.855737,100,163,848,60
152404,1418257167341.860737,100,163,848,60
152405,1418257167343.038737,100,163,848,60
152406,1418257167344.224737,100,163,848,60
152407,1418257167345.262737,100,163,848,60
152408,1418257167346.313737,100,163,848,60
152409,1418257167347.338737,100,163,848,60
152410,1418257167348.390737,100,163,848,60
152411,1418257167349.444737,100,163,848,60
152412,1418257167350.486737,100,163,848,60
152413,1418257167351.511737,100,163,848,60
152414,1418257167352.602737,100,163,848,60
152415,1418257167353.598737,100,163,848,60
152416,1418257167354.656737,100,163,848,60
152417,1418257167355.840737,100,163,848,60
152418,1418257167356.848737,100,163,848,60
152419,1418257167357.885737,99,163,848,60
152420,1418257167359.087737,99,163,848,60
152421,1418257167359.971737,99,163,848,60
152422,1418257167361.063737,99,163,848,60
152423,1418257167362.069737,99,163,848,60
152424,1418257167363.144737,99,163,848,60
152425,1418257167364.155737,99,163,848,60
152426,1418257167365.307737,99,163,848,60
152427,1418257167366.298737,99,163,848,60
152428,1418257167367.338737,99,163,848,60
152429,1418257167368.448737,99,163,848,60
152430,1418257167369.416737,99,163,848,60
152431,1418257167370.444737,99,163,848,60
152432,1418257167371.513737,99,163,848,60
152433,1418257167372.648737,99,163,848,60
152434,1418257167373.590737,99,163,848,60
152435,1418257167374.636737,99,163,848,60
152436,1418257167375.685737,99,163,848,60
152437,1418257167376.717737,99,163,848,60
152438,1418257167377.773737,99,163,848,60
152439,1418257167379.016737,99,163,848,60
152440,1418257167379.894737,99,163,848,60
152441,1418257167380.935737,99,163,848,60
152442,1418257167381.957737,99,163,848,60
152443,1418257167383.070737,99,163,848,60
152444,1418257167384.060737,99,163,848,60
152445,1418257167385.236737,99,163,848,60
152446,1418257167386.135737,99,163,848,60
152447,1418257167387.230737,99,163,848,60
152448,1418257167388.254737,99,163,848,60
152449,1418257167389.328737,99,163,848,60
152450,1418257167390.330737,99,163,848,60
152451,1418257167391.371737,99,163,848,60
152452,1418257167392.426737,99,163,848,60
152453,1418257167393.453737,99,163,848,60
152454,1418257167394.536737,99,163,848,60
152455,1418257167395.569737,99,163,848,60
152456,1418257167396.587737,99,163,848,60
152457,1418257167397.627737,99,163,848,60
152458,1418257167398.891737,99,163,848,60
152459,1418257167399.770737,99,163,848,60
152460,1418257167400.774737,99,163,848,60
152461,1418257167401.818737,99,163,848,60
152462,1418257167402.956737,99,163,848,60
152463,1418257167403.904737,99,163,848,60
152464,1418257167405.049737,99,163,848,60
152465,1418257167406.016737,99,163,848,60
152466,1418257167407.080737,99,163,848,60
152467,1418257167408.102737,99,163,848,60
152468,1418257167409.230737,99,163,848,60
152469,1418257167410.230737,99,163,848,60
152470,1418257167411.279737,99,163,848,60
152471,1418257167412.336737,99,163,848,60
152472,1418257167413.469737,99,163,848,60
152473,1418257167414.434737,99,163,848,60
152474,1418257167415.577737,99,163,848,60
152475,1418257167416.523737,99,163,848,60
152476,1418257167417.571737,99,163,848,60
152477,1418257167418.623737,99,163,848,60
152478,1418257167419.678737,99,163,848,60
152479,1418257167420.721737,99,163,848,60
152480,1418257167421.730737,99,163,848,60
152481,1418257167422.872737,99,163,848,60
152482,1418257167423.814737,99,163,848,60
152483,1418257167425.042737,99,163,848,60
152484,1418257167425.949737,99,163,848,60
152485,1418257167427.008737,99,163,848,60
152486,1418257167428.034737,99,163,848,60
152487,1418257167429.177737,99,163,848,60
152488,1418257167430.119737,99,163,848,60
152489,1418257167431.214737,99,163,848,60
152490,1418257167432.189737,99,163,848,60
152491,1418257167433.239737,99,163,848,60
152492,1418257167434.259737,99,163,848,60
152493,1418257167435.338737,99,163,848,60
152494,1418257167436.340737,99,163,848,60
152495,1418257167437.378737,99,163,848,60
152496,1418257167438.579737,99,163,848,60
152497,1418257167439.521737,99,163,848,60
152498,1418257167440.516737,99,163,848,60
152499,1418257167441.614737,99,163,848,60
152500,1418257167442.611737,99,163,848,60
152501,1418257167444.347737,99,163,848,60
152502,1418257167445.346737,99,163,848,60
152503,1418257167446.368737,99,163,848,60
152504,1418257167447.422737,99,163,848,60
152505,1418257167449.118737,99,163,848,60
152506,1418257167450.278737,99,163,848,60
152507,1418257167451.470737,99,163,848,60
152508,1418257167452.162737,99,163,848,60
152509,1418257167453.173737,99,163,848,60
152510,1418257167454.226737,99,163,848,60
152511,1418257167455.320737,99,163,848,60
152512,1418257167456.315737,99,163,848,60
152513,1418257167457.336737,99,163,848,60
152514,1418257167458.599737,99,163,848,60
152515,1418257167459.578737,99,163,848,60
152516,1418257167460.490737,99,163,848,60
152517,1418257167461.522737,99,163,848,60
152518,1418257167462.619737,99,163,848,60
152519,1418257167463.631737,99,163,848,60
152520,1418257167464.658737,99,163,848,60
152521,1418257167465.724737,99,163,848,60
152522,1418257167466.824737,99,163,848,60
152523,1418257167467.813737,99,163,848,60
152524,1418257167468.983737,99,163,848,60
152525,1418257167469.916737,99,163,848,60
152526,1418257167471.026737,99,163,848,60
152527,1418257167471.991737,99,163,848,60
152528,1418257167473.082737,99,163,848,60
152529,1418257167474.089737,99,163,849,60
152530,1418257167475.265737,99,163,849,60
152531,1418257167476.175737,99,163,849,60
152532,1418257167477.214737,99,163,849,60
152533,1418257167478.256737,99,163,849,60
152534,1418257167479.347737,99,163,849,60
152535,1418257167480.340737,99,163,849,60
152536,1418257167481.380737,99,163,849,60
152537,1418257167482.455737,99,163,849,60
152538,1418257167483.484737,99,163,849,60
152539,1418257167484.543737,99,163,849,60
152540,1418257167485.592737,99,163,849,60
152541,1418257167487.220737,99,163,849,60
152542,1418257167489.027737,99,163,849,60
152543,1418257167490.169737,99,163,849,60
152544,1418257167491.346737,99,163,849,60
152545,1418257167493.080737,99,163,849,60
152546,1418257167494.327737,99,163,849,60
152547,1418257167495.594737,99,163,849,60
152548,1418257167496.723737,99,163,849,60
152549,1418257167498.532737,99,163,849,60
152550,1418257167499.707737,99,163,849,60
152551,1418257167500.876737,99,163,849,60
152552,1418257167502.623737,99,163,849,60
152553,1418257167503.874737,99,163,849,60
152554,1418257167505.106737,99,163,849,60
152555,1418257167506.781737,99,163,849,60
152556,1418257167508.012737,99,163,849,60
152557,1418257167509.172737,100,163,849,60
152558,1418257167510.344737,100,163,849,60
152559,1418257167511.485737,100,163,849,60
152560,1418257167513.336737,100,163,849,60
152561,1418257167514.533737,100,163,849,60
152562,1418257167515.685737,100,163,849,60
152563,1418257167517.385737,100,163,849,60
152564,1418257167518.671737,100,163,849,60
152565,1418257167519.853737,100,163,849,60
152566,1418257167520.662737,100,163,849,60
152567,1418257167521.433737,100,163,849,60
152568,1418257167522.483737,100,163,849,60
152569,1418257167524.101737,100,163,849,60
152570,1418257167525.227737,100,163,849,60
152571,1418257167525.756737,100,163,849,60
152572,1418257167526.872737,100,163,849,60
152573,1418257167527.869737,100,163,849,60
152574,1418257167529.027737,100,163,849,60
152575,1418257167529.939737,100,163,849,60
152576,1418257167531.003737,100,163,849,60
152577,1418257167532.014737,100,163,849,60
152578,1418257167533.058737,100,163,849,60
152579,1418257167534.112737,100,163,849,60
152580,1418257167535.258737,100,163,849,60
152581,1418257167536.287737,100,163,849,60
152582,1418257167537.326737,100,163,849,60
152583,1418257167538.353737,100,163,849,60
152584,1418257167539.439737,100,163,849,60
152585,1418257167540.454737,100,163,849,60
152586,1418257167541.524737,100,163,849,60
152587,1418257167542.591737,100,163,849,60
152588,1418257167544.138737,100,163,849,60
152589,1418257167544.686737,100,163,849,60
152590,1418257167545.722737,100,163,849,60
152591,1418257167546.808737,100,163,849,60
152592,1418257167547.791737,100,163,849,60
152593,1418257167548.969737,100,163,849,60
152594,1418257167549.890737,100,163,849,60
152595,1418257167550.963737,100,163,849,60
152596,1418257167551.971737,100,163,849,60
152597,1418257167552.995737,100,163,849,60
152598,1418257167554.071737,100,163,849,60
152599,1418257167555.170737,100,163,849,60
152600,1418257167556.140737,100,163,849,60
152601,1418257167557.203737,100,163,849,60
152602,1418257167558.239737,100,163,849,60
152603,1418257167559.294737,100,163,849,60
152604,1418257167560.333737,100,163,849,60
152605,1418257167561.356737,100,163,849,60
