Sample,X(ms) [11.12.2014 00:26:24 095 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
196531,1418257805148.815315,149,162,386,20
196532,1418257805149.715315,149,162,386,20
196533,1418257805150.744315,149,162,386,20
196534,1418257805151.793315,149,162,386,20
196535,1418257805152.852315,149,162,386,20
196536,1418257805153.912315,149,162,386,20
196537,1418257805155.093315,149,162,386,20
196538,1418257805156.009315,149,162,386,20
196539,1418257805157.053315,149,162,386,20
196540,1418257805158.070315,149,162,386,20
196541,1418257805159.315315,149,162,386,20
196542,1418257805160.158315,149,162,386,20
196543,1418257805161.184315,149,162,386,20
196544,1418257805162.242315,149,162,386,20
196545,1418257805164.443315,149,162,386,20
196546,1418257805165.842315,149,162,386,20
196547,1418257805167.625315,149,162,386,20
196548,1418257805168.927315,149,162,386,20
196549,1418257805170.127315,149,162,386,20
196550,1418257805172.002315,149,162,386,20
196551,1418257805173.305315,149,162,386,20
196552,1418257805175.345315,149,162,386,20
196553,1418257805177.204315,149,162,386,20
196554,1418257805178.518315,149,162,386,20
196555,1418257805179.703315,149,162,386,20
196556,1418257805181.580315,149,162,386,20
196557,1418257805182.836315,149,162,386,20
196558,1418257805184.898315,149,162,386,20
196559,1418257805186.699315,149,162,386,20
196560,1418257805187.931315,149,162,386,20
196561,1418257805189.146315,149,162,386,20
196562,1418257805191.060315,149,162,386,20
196563,1418257805192.375315,149,162,386,20
196564,1418257805194.263315,149,162,386,20
196565,1418257805196.144315,149,162,386,20
196566,1418257805197.451315,149,162,386,20
196567,1418257805198.086315,149,162,386,20
196568,1418257805199.229315,149,162,386,20
196569,1418257805200.166315,149,162,386,20
196570,1418257805201.205315,149,162,386,20
196571,1418257805202.240315,149,162,386,20
196572,1418257805203.337315,149,162,386,20
196573,1418257805204.398315,149,162,386,20
196574,1418257805205.363315,149,162,386,20
196575,1418257805206.414315,149,162,386,20
196576,1418257805207.478315,149,162,386,20
196577,1418257805208.611315,149,162,386,20
196578,1418257805209.592315,149,162,386,20
196579,1418257805210.678315,149,162,386,20
196580,1418257805211.653315,149,162,386,20
196581,1418257805212.761315,149,162,386,20
196582,1418257805213.833315,149,162,386,20
196583,1418257805214.979315,149,162,386,20
196584,1418257805215.877315,149,162,386,20
196585,1418257805216.890315,149,162,386,20
196586,1418257805218.004315,149,162,386,20
196587,1418257805219.144315,149,162,386,20
196588,1418257805220.034315,149,162,386,20
196589,1418257805221.049315,149,162,386,20
196590,1418257805222.105315,149,162,386,20
196591,1418257805223.146315,149,162,386,20
196592,1418257805224.180315,149,162,386,20
196593,1418257805225.345315,149,162,386,20
196594,1418257805226.332315,149,162,386,20
196595,1418257805227.408315,149,162,386,20
196596,1418257805228.631315,149,162,386,20
196597,1418257805229.572315,149,162,386,20
196598,1418257805230.514315,149,162,386,20
196599,1418257805231.553315,149,162,386,20
196600,1418257805232.689315,149,162,386,20
196601,1418257805233.710315,149,162,386,20
196602,1418257805234.796315,149,162,386,20
196603,1418257805235.758315,149,162,386,20
196604,1418257805236.827315,149,162,386,20
196605,1418257805237.821315,149,162,386,20
196606,1418257805239.009315,149,162,386,20
196607,1418257805239.947315,149,162,386,20
196608,1418257805240.963315,149,162,386,20
196609,1418257805242.010315,149,162,386,20
196610,1418257805243.885315,149,162,386,20
196611,1418257805244.630315,149,162,386,20
196612,1418257805245.603315,149,162,386,20
196613,1418257805246.622315,149,162,386,20
196614,1418257805247.594315,149,162,386,20
196615,1418257805248.852315,149,162,386,20
196616,1418257805249.753315,149,162,386,20
196617,1418257805250.771315,149,162,386,20
196618,1418257805251.810315,149,162,386,20
196619,1418257805252.875315,149,162,386,20
196620,1418257805253.930315,149,162,386,20
196621,1418257805255.100315,149,162,386,20
196622,1418257805256.030315,149,162,386,20
196623,1418257805257.073315,149,162,386,20
196624,1418257805258.102315,149,162,386,20
196625,1418257805259.443315,149,162,386,20
196626,1418257805260.215315,149,162,386,20
196627,1418257805261.326315,149,162,386,20
196628,1418257805262.333315,149,162,386,20
196629,1418257805263.394315,149,162,386,20
196630,1418257805264.525315,149,162,386,20
196631,1418257805265.529315,149,162,386,20
196632,1418257805266.538315,149,162,386,20
196633,1418257805267.572315,149,162,386,20
196634,1418257805268.816315,149,162,386,20
196635,1418257805269.768315,149,162,386,20
196636,1418257805270.709315,149,162,386,20
196637,1418257805271.730315,149,162,386,20
196638,1418257805272.827315,149,162,386,20
196639,1418257805273.829315,149,162,386,20
196640,1418257805274.946315,149,162,386,20
196641,1418257805275.902315,149,162,386,20
196642,1418257805276.943315,149,162,386,20
196643,1418257805277.985315,149,162,386,20
196644,1418257805279.160315,149,162,386,20
196645,1418257805280.087315,149,162,386,20
196646,1418257805281.145315,149,162,386,20
196647,1418257805282.188315,149,162,386,20
196648,1418257805283.227315,149,162,386,20
196649,1418257805284.349315,149,162,386,20
196650,1418257805285.361315,149,162,386,20
196651,1418257805286.392315,149,162,386,20
196652,1418257805287.444315,149,162,386,20
196653,1418257805288.628315,149,162,386,20
196654,1418257805289.593315,149,162,386,20
196655,1418257805290.566315,149,162,386,20
196656,1418257805291.588315,149,162,386,20
196657,1418257805292.737315,149,162,386,20
196658,1418257805293.687315,149,162,386,20
196659,1418257805294.877315,149,162,386,20
196660,1418257805295.781315,149,162,386,20
196661,1418257805296.851315,149,162,386,20
196662,1418257805297.907315,149,162,386,20
196663,1418257805299.067315,149,162,386,20
196664,1418257805300.013315,149,162,386,20
196665,1418257805301.049315,149,162,386,20
196666,1418257805302.073315,149,162,386,20
196667,1418257805303.133315,149,162,386,20
196668,1418257805304.178315,149,162,386,20
196669,1418257805305.312315,149,162,386,20
196670,1418257805306.349315,149,162,386,20
196671,1418257805307.381315,149,162,386,20
196672,1418257805308.485315,149,162,386,20
196673,1418257805309.600315,149,162,386,20
196674,1418257805310.589315,149,162,386,20
196675,1418257805311.624315,149,162,386,20
196676,1418257805312.704315,149,162,386,20
196677,1418257805313.767315,149,162,386,20
196678,1418257805314.828315,149,162,386,20
196679,1418257805315.797315,149,162,386,20
196680,1418257805316.868315,149,162,386,20
196681,1418257805317.994315,149,162,386,20
196682,1418257805319.120315,149,162,386,20
196683,1418257805320.015315,149,162,386,20
196684,1418257805321.056315,149,162,386,20
196685,1418257805322.092315,149,162,386,20
196686,1418257805323.126315,149,162,386,20
196687,1418257805324.173315,149,162,386,20
196688,1418257805325.368315,149,162,386,20
196689,1418257805326.263315,149,162,386,20
196690,1418257805327.339315,149,162,386,20
196691,1418257805328.455315,149,162,386,20
196692,1418257805329.447315,149,162,386,20
196693,1418257805330.458315,149,162,386,20
196694,1418257805331.488315,149,162,386,20
196695,1418257805332.624315,149,162,386,20
196696,1418257805333.652315,149,162,386,20
196697,1418257805334.621315,149,162,386,20
196698,1418257805335.711315,149,162,386,20
196699,1418257805336.816315,149,162,386,20
196700,1418257805337.793315,149,162,386,20
196701,1418257805338.945315,149,162,386,20
196702,1418257805339.895315,149,162,386,20
196703,1418257805340.925315,149,162,386,20
196704,1418257805341.963315,149,162,386,20
196705,1418257805343.087315,149,162,386,20
196706,1418257805344.360315,149,162,386,20
196707,1418257805345.423315,149,162,386,20
196708,1418257805346.409315,149,162,386,20
196709,1418257805347.439315,149,162,386,20
196710,1418257805348.787315,149,162,386,20
196711,1418257805351.318315,149,162,386,20
196712,1418257805352.630315,149,162,386,20
196713,1418257805354.619315,149,162,386,20
196714,1418257805356.540315,149,162,386,20
196715,1418257805357.828315,149,162,386,20
196716,1418257805358.780315,149,162,386,20
196717,1418257805359.556315,149,162,386,20
196718,1418257805360.641315,149,162,386,20
196719,1418257805361.586315,149,162,386,20
196720,1418257805362.701315,149,162,386,20
196721,1418257805363.686315,149,162,386,20
196722,1418257805364.888315,149,162,386,20
196723,1418257805365.835315,149,162,386,20
196724,1418257805366.826315,149,162,386,20
196725,1418257805367.850315,149,162,386,20
196726,1418257805369.047315,149,162,386,20
196727,1418257805369.964315,149,162,386,20
196728,1418257805370.988315,149,162,386,20
196729,1418257805372.026315,149,162,386,20
196730,1418257805373.072315,149,162,386,20
196731,1418257805374.133315,149,162,386,20
196732,1418257805375.267315,149,162,386,20
196733,1418257805376.338315,149,162,386,20
196734,1418257805377.300315,149,162,386,20
196735,1418257805378.440315,149,162,386,20
196736,1418257805379.398315,149,162,386,20
196737,1418257805380.492315,149,162,386,20
196738,1418257805381.475315,149,162,386,20
196739,1418257805382.497315,149,162,386,20
196740,1418257805383.602315,149,162,386,20
196741,1418257805384.657315,149,162,386,20
