Sample,X(ms) [11.12.2014 00:21:54 340 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
87499,1418257413003.935017,98,162,681,80
87500,1418257413005.065017,98,162,681,80
87501,1418257413005.970017,98,162,681,80
87502,1418257413007.006017,98,162,681,80
87503,1418257413008.057017,98,162,681,80
87504,1418257413009.222017,98,162,681,80
87505,1418257413010.130017,98,162,681,80
87506,1418257413011.175017,98,162,681,80
87507,1418257413012.205017,98,162,681,80
87508,1418257413013.358017,98,162,681,80
87509,1418257413014.329017,98,162,681,80
87510,1418257413015.385017,98,162,681,80
87511,1418257413016.433017,98,162,681,80
87512,1418257413017.474017,98,162,681,80
87513,1418257413018.501017,98,162,681,80
87514,1418257413019.587017,98,162,681,80
87515,1418257413020.637017,98,162,681,80
87516,1418257413021.648017,98,162,681,80
87517,1418257413022.649017,98,162,681,80
87518,1418257413023.694017,98,162,681,80
87519,1418257413024.927017,98,162,681,80
87520,1418257413025.820017,98,162,681,80
87521,1418257413026.870017,98,162,681,80
87522,1418257413027.911017,98,162,681,80
87523,1418257413029.128017,98,162,681,80
87524,1418257413030.001017,98,162,681,80
87525,1418257413031.046017,98,162,681,80
87526,1418257413032.082017,98,162,681,80
87527,1418257413033.162017,98,162,681,80
87528,1418257413034.253017,98,162,681,80
87529,1418257413035.390017,98,162,681,80
87530,1418257413036.377017,98,162,681,80
87531,1418257413037.414017,98,162,681,80
87532,1418257413038.554017,98,162,681,80
87533,1418257413039.530017,98,162,681,80
87534,1418257413040.542017,98,162,681,80
87535,1418257413041.549017,98,162,681,80
87536,1418257413042.728017,98,162,681,80
87537,1418257413044.215017,98,162,681,80
87538,1418257413044.871017,98,162,681,80
87539,1418257413045.878017,98,162,681,80
87540,1418257413046.869017,98,162,681,80
87541,1418257413047.944017,98,162,681,80
87542,1418257413049.139017,98,162,681,80
87543,1418257413050.045017,98,162,681,80
87544,1418257413051.076017,98,162,681,80
87545,1418257413052.113017,98,162,681,80
87546,1418257413053.159017,98,162,681,80
87547,1418257413054.221017,98,162,681,80
87548,1418257413055.339017,98,162,681,80
87549,1418257413056.326017,98,162,681,80
87550,1418257413057.372017,98,162,681,80
87551,1418257413058.423017,98,162,681,80
87552,1418257413059.617017,98,162,681,80
87553,1418257413060.530017,98,162,681,80
87554,1418257413061.651017,98,162,681,80
87555,1418257413062.707017,98,162,681,80
87556,1418257413063.713017,98,162,681,80
87557,1418257413064.904017,98,162,681,80
87558,1418257413065.835017,98,162,681,80
87559,1418257413066.846017,98,162,681,80
