Sample,X(ms) [11.12.2014 00:39:12 991 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
145462,1418258517944.435266,146,163,749,60
145463,1418258517945.521266,146,163,749,60
145464,1418258517946.539266,146,163,749,60
145465,1418258517947.613266,146,163,749,60
145466,1418258517948.621266,146,163,749,60
145467,1418258517949.693266,146,163,749,60
145468,1418258517950.712266,146,163,749,60
145469,1418258517951.773266,146,163,749,60
145470,1418258517952.849266,146,163,749,60
145471,1418258517953.852266,146,163,749,60
145472,1418258517954.984266,146,163,749,60
145473,1418258517955.944266,146,163,749,60
145474,1418258517957.056266,146,163,749,60
145475,1418258517957.999266,146,163,749,60
145476,1418258517959.150266,146,163,749,60
145477,1418258517960.095266,146,163,749,60
145478,1418258517961.225266,146,163,749,60
145479,1418258517962.215266,146,163,749,60
145480,1418258517963.243266,146,163,749,60
145481,1418258517964.294266,146,163,749,60
145482,1418258517965.395266,146,163,749,60
145483,1418258517966.400266,146,163,749,60
145484,1418258517967.448266,146,163,749,60
145485,1418258517968.640266,146,163,749,60
145486,1418258517969.569266,146,163,749,60
145487,1418258517970.572266,146,163,749,60
145488,1418258517971.647266,146,163,749,60
145489,1418258517972.660266,146,163,749,60
145490,1418258517973.697266,146,163,749,60
145491,1418258517974.814266,146,163,749,60
145492,1418258517975.839266,146,163,749,60
145493,1418258517976.939266,146,163,749,60
145494,1418258517977.895266,146,163,749,60
145495,1418258517979.900266,146,163,749,60
145496,1418258517981.807266,146,163,749,60
145497,1418258517983.056266,146,163,749,60
145498,1418258517985.021266,146,163,749,60
145499,1418258517986.215266,146,163,749,60
145500,1418258517988.018266,146,163,749,60
145501,1418258517989.320266,146,163,749,60
145502,1418258517991.121266,146,163,749,60
145503,1418258517992.478266,146,163,749,60
145504,1418258517994.526266,146,163,749,60
145505,1418258517996.434266,146,163,749,60
145506,1418258517997.724266,146,163,749,60
145507,1418258517998.745266,146,163,749,60
145508,1418258517999.388266,146,163,749,60
145509,1418258518000.390266,146,163,749,60
145510,1418258518001.453266,146,163,749,60
145511,1418258518002.466266,146,163,749,60
145512,1418258518003.541266,146,163,749,60
145513,1418258518004.580266,146,163,749,60
145514,1418258518005.654266,146,163,749,60
145515,1418258518006.670266,146,163,749,60
145516,1418258518007.708266,146,163,749,60
145517,1418258518008.939266,146,163,749,60
145518,1418258518009.849266,146,163,749,60
145519,1418258518010.831266,146,163,749,60
145520,1418258518011.911266,146,163,749,60
145521,1418258518013.005266,146,163,749,60
145522,1418258518013.999266,146,163,749,60
145523,1418258518015.156266,146,163,749,60
145524,1418258518016.050266,146,163,749,60
145525,1418258518017.162266,146,163,749,60
145526,1418258518018.206266,146,163,749,60
145527,1418258518019.303266,146,163,749,60
145528,1418258518020.338266,146,163,749,60
145529,1418258518021.367266,146,163,749,60
145530,1418258518022.456266,146,163,749,60
145531,1418258518023.616266,146,163,749,60
145532,1418258518024.527266,146,163,749,60
145533,1418258518025.600266,146,163,749,60
145534,1418258518026.637266,146,163,749,60
145535,1418258518029.161266,146,163,749,60
145536,1418258518030.467266,146,163,749,60
145537,1418258518031.715266,146,163,749,60
145538,1418258518033.651266,146,163,749,60
145539,1418258518035.611266,146,163,749,60
145540,1418258518036.861266,146,163,749,60
145541,1418258518038.779266,146,163,749,60
145542,1418258518040.030266,146,163,749,60
145543,1418258518041.976266,146,163,749,60
145544,1418258518044.359266,146,163,749,60
145545,1418258518046.297266,146,163,749,60
145546,1418258518047.550266,146,163,749,60
145547,1418258518049.447266,146,163,749,60
145548,1418258518050.675266,146,163,749,60
145549,1418258518051.620266,146,163,749,60
145550,1418258518052.641266,146,163,749,60
145551,1418258518054.001266,146,163,749,60
145552,1418258518054.781266,146,163,749,60
145553,1418258518055.786266,146,163,749,60
145554,1418258518057.014266,146,163,749,60
145555,1418258518057.843266,146,163,749,60
145556,1418258518059.187266,146,163,749,60
145557,1418258518059.948266,146,163,749,60
145558,1418258518061.078266,146,163,749,60
145559,1418258518062.037266,146,163,749,60
145560,1418258518063.056266,146,163,749,60
145561,1418258518064.105266,146,163,749,60
145562,1418258518065.275266,146,163,749,60
145563,1418258518066.205266,146,163,749,60
145564,1418258518067.236266,146,163,749,60
145565,1418258518068.287266,146,163,749,60
145566,1418258518069.376266,146,163,749,60
145567,1418258518070.399266,146,163,749,60
145568,1418258518071.463266,146,163,749,60
145569,1418258518072.480266,146,163,749,60
145570,1418258518073.537266,146,163,749,60
145571,1418258518074.571266,146,163,749,60
145572,1418258518075.664266,146,163,749,60
145573,1418258518076.663266,146,163,749,60
145574,1418258518077.711266,146,163,749,60
145575,1418258518078.889266,146,163,749,60
145576,1418258518079.826266,146,163,749,60
145577,1418258518080.914266,146,163,749,60
145578,1418258518081.916266,146,163,749,60
145579,1418258518082.912266,146,163,749,60
145580,1418258518084.006266,146,163,749,60
145581,1418258518085.178266,146,163,749,60
145582,1418258518086.069266,146,163,749,60
145583,1418258518087.094266,146,163,749,60
145584,1418258518088.283266,146,163,749,60
145585,1418258518089.336266,146,163,749,60
145586,1418258518090.291266,146,163,749,60
145587,1418258518091.385266,146,163,749,60
145588,1418258518092.401266,146,163,749,60
145589,1418258518093.467266,146,163,749,60
145590,1418258518094.523266,146,163,749,60
145591,1418258518095.578266,146,163,749,60
145592,1418258518096.632266,146,163,749,60
145593,1418258518097.685266,146,163,749,60
145594,1418258518098.828266,146,163,749,60
145595,1418258518099.788266,146,163,749,60
145596,1418258518100.896266,146,163,749,60
145597,1418258518101.858266,146,163,749,60
145598,1418258518102.864266,146,163,749,60
145599,1418258518103.939266,146,163,749,60
145600,1418258518105.153266,146,163,749,60
145601,1418258518106.020266,146,163,749,60
145602,1418258518107.067266,146,163,749,60
