Sample,X(ms) [10.12.2014 20:36:13 141 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
408655,1418244233458.990644,51,155,170,20
408656,1418244233460.740644,51,155,170,20
408657,1418244233461.920644,51,155,170,20
408658,1418244233462.464644,51,155,170,20
408659,1418244233463.494644,51,155,170,20
408660,1418244233464.529644,51,155,170,20
408661,1418244233465.602644,51,155,170,20
408662,1418244233466.643644,51,155,170,20
408663,1418244233467.683644,51,155,170,20
408664,1418244233468.805644,51,155,170,20
408665,1418244233469.799644,51,155,170,20
408666,1418244233470.833644,51,155,170,20
408667,1418244233471.944644,51,155,170,20
408668,1418244233472.929644,51,155,170,20
408669,1418244233474.049644,51,155,170,20
408670,1418244233475.130644,51,155,170,20
408671,1418244233476.081644,51,155,170,20
408672,1418244233477.149644,51,155,170,20
408673,1418244233478.208644,51,155,170,20
408674,1418244233479.337644,51,155,170,20
408675,1418244233480.275644,51,155,170,20
408676,1418244233481.287644,51,155,170,20
408677,1418244233482.375644,51,155,170,20
408678,1418244233483.426644,51,155,170,20
408679,1418244233484.452644,51,155,170,20
408680,1418244233485.536644,51,155,170,20
408681,1418244233486.565644,51,155,170,20
408682,1418244233487.605644,51,155,170,20
408683,1418244233488.672644,51,155,170,20
408684,1418244233489.733644,51,155,170,20
408685,1418244233490.750644,51,155,170,20
408686,1418244233491.833644,51,155,170,20
408687,1418244233492.823644,51,155,170,20
408688,1418244233493.931644,51,155,170,20
408689,1418244233494.935644,51,155,170,20
408690,1418244233495.995644,51,155,170,20
408691,1418244233497.005644,51,155,170,20
408692,1418244233498.098644,51,155,170,20
408693,1418244233499.223644,51,155,170,20
408694,1418244233500.187644,51,155,170,20
408695,1418244233501.166644,51,155,170,20
408696,1418244233502.281644,51,155,170,20
408697,1418244233503.269644,51,155,170,20
408698,1418244233504.294644,51,155,170,20
408699,1418244233505.423644,51,155,170,20
408700,1418244233506.412644,51,155,170,20
408701,1418244233507.435644,51,155,170,20
408702,1418244233508.453644,51,155,170,20
408703,1418244233509.548644,51,155,170,20
408704,1418244233510.560644,51,155,170,20
408705,1418244233511.593644,51,155,170,20
408706,1418244233512.637644,51,155,170,20
408707,1418244233513.668644,51,155,170,20
408708,1418244233514.726644,51,155,170,20
408709,1418244233515.819644,51,155,170,20
408710,1418244233516.822644,51,155,170,20
408711,1418244233517.927644,51,155,170,20
408712,1418244233519.090644,51,155,170,20
408713,1418244233520.004644,51,155,170,20
408714,1418244233520.978644,51,155,170,20
408715,1418244233522.090644,51,155,170,20
408716,1418244233523.348644,51,155,170,20
408717,1418244233524.548644,51,155,170,20
408718,1418244233525.599644,51,155,170,20
408719,1418244233526.643644,51,155,170,20
408720,1418244233527.680644,51,155,170,20
408721,1418244233528.826644,51,155,170,20
408722,1418244233529.796644,51,155,170,20
408723,1418244233530.798644,51,155,170,20
408724,1418244233531.873644,51,155,170,20
408725,1418244233532.980644,51,155,170,20
408726,1418244233534.036644,51,155,170,20
408727,1418244233535.098644,51,155,170,20
408728,1418244233536.036644,51,155,170,20
408729,1418244233537.108644,51,155,170,20
408730,1418244233538.192644,51,155,170,20
408731,1418244233539.285644,51,155,170,20
408732,1418244233540.212644,51,155,170,20
408733,1418244233541.314644,51,155,170,20
408734,1418244233542.339644,51,155,170,20
408735,1418244233543.313644,51,155,170,20
408736,1418244233544.377644,51,155,170,20
408737,1418244233545.511644,51,155,170,20
408738,1418244233546.466644,51,155,170,20
408739,1418244233548.578644,51,155,170,20
408740,1418244233549.714644,51,155,170,20
408741,1418244233551.580644,51,155,170,20
408742,1418244233552.845644,51,155,170,20
408743,1418244233554.000644,51,155,170,20
408744,1418244233555.887644,51,155,170,20
408745,1418244233556.683644,51,155,170,20
408746,1418244233557.490644,51,155,170,20
408747,1418244233558.612644,51,155,170,20
408748,1418244233559.566644,51,155,170,20
408749,1418244233560.588644,51,155,170,20
408750,1418244233561.634644,51,155,170,20
408751,1418244233562.665644,51,155,170,20
408752,1418244233565.960644,51,155,170,20
408753,1418244233567.190644,51,155,170,20
408754,1418244233568.356644,51,155,170,20
408755,1418244233569.508644,51,155,170,20
408756,1418244233570.642644,51,155,170,20
408757,1418244233572.289644,51,155,170,20
408758,1418244233572.888644,51,155,170,20
408759,1418244233573.860644,51,155,170,20
408760,1418244233574.905644,51,155,170,20
408761,1418244233575.959644,51,155,170,20
408762,1418244233576.999644,51,155,170,20
408763,1418244233578.104644,51,155,170,20
408764,1418244233581.920644,51,155,170,20
408765,1418244233583.084644,51,155,170,20
408766,1418244233584.901644,51,155,170,20
408767,1418244233586.236644,51,155,170,20
408768,1418244233588.027644,51,155,170,20
408769,1418244233589.231644,51,155,170,20
408770,1418244233590.437644,51,155,170,20
408771,1418244233592.134644,51,155,170,20
408772,1418244233592.717644,51,155,170,20
408773,1418244233593.720644,51,155,170,20
408774,1418244233594.788644,51,155,170,20
408775,1418244233595.835644,51,155,170,20
408776,1418244233596.861644,51,155,170,20
408777,1418244233597.979644,51,155,170,20
408778,1418244233599.095644,51,155,170,20
408779,1418244233600.018644,51,155,170,20
408780,1418244233601.032644,51,155,170,20
408781,1418244233602.135644,51,155,170,20
408782,1418244233603.157644,51,155,170,20
408783,1418244233604.213644,51,155,170,20
408784,1418244233605.309644,51,155,170,20
408785,1418244233606.324644,51,155,170,20
408786,1418244233607.292644,51,155,170,20
408787,1418244233608.350644,51,155,170,20
408788,1418244233609.513644,51,155,170,20
408789,1418244233610.531644,51,155,170,20
408790,1418244233611.569644,51,155,170,20
408791,1418244233612.627644,51,155,170,20
408792,1418244233613.650644,51,155,170,20
408793,1418244233614.703644,51,155,170,20
408794,1418244233615.784644,51,155,170,20
408795,1418244233616.790644,51,155,170,20
408796,1418244233617.854644,51,155,170,20
408797,1418244233619.105644,51,155,170,20
408798,1418244233619.949644,51,155,170,20
408799,1418244233620.973644,51,155,170,20
408800,1418244233622.073644,51,155,170,20
408801,1418244233623.323644,51,155,170,20
408802,1418244233624.578644,51,155,170,20
408803,1418244233625.607644,51,155,170,20
408804,1418244233626.632644,51,155,170,20
408805,1418244233627.680644,51,155,170,20
408806,1418244233628.714644,51,155,170,20
408807,1418244233629.804644,51,155,170,20
408808,1418244233630.823644,51,155,170,20
408809,1418244233631.849644,51,155,170,20
408810,1418244233632.884644,51,155,170,20
408811,1418244233634.037644,51,155,170,20
408812,1418244233634.983644,51,155,170,20
408813,1418244233636.022644,51,155,170,20
408814,1418244233637.047644,51,155,170,20
408815,1418244233638.138644,51,155,170,20
408816,1418244233639.254644,51,155,170,20
408817,1418244233640.199644,51,155,170,20
408818,1418244233641.290644,51,155,170,20
408819,1418244233642.335644,51,155,170,20
408820,1418244233643.311644,51,155,170,20
408821,1418244233644.363644,51,155,170,20
408822,1418244233645.515644,51,155,170,20
408823,1418244233646.465644,51,155,170,20
408824,1418244233647.545644,51,155,170,20
408825,1418244233648.695644,51,155,170,20
408826,1418244233649.646644,51,155,170,20
408827,1418244233650.649644,51,155,170,20
408828,1418244233651.711644,51,155,170,20
408829,1418244233652.738644,51,155,170,20
408830,1418244233653.802644,51,155,170,20
408831,1418244233654.851644,51,155,170,20
408832,1418244233655.927644,51,155,170,20
408833,1418244233657.589644,51,155,170,20
408834,1418244233658.795644,51,155,170,20
408835,1418244233660.673644,51,155,170,20
408836,1418244233661.849644,51,155,170,20
408837,1418244233662.991644,51,155,170,20
408838,1418244233664.145644,51,155,170,20
408839,1418244233666.037644,51,155,170,20
408840,1418244233666.941644,51,155,170,20
408841,1418244233667.637644,51,155,170,20
408842,1418244233668.665644,51,155,170,20
408843,1418244233669.727644,51,155,170,20
408844,1418244233670.745644,51,155,170,20
408845,1418244233671.776644,51,155,170,20
408846,1418244233675.136644,51,155,170,20
408847,1418244233676.361644,51,155,170,20
408848,1418244233677.529644,51,155,170,20
408849,1418244233678.684644,51,155,170,20
408850,1418244233680.405644,51,155,170,20
408851,1418244233681.605644,51,155,170,20
408852,1418244233682.229644,51,155,170,20
408853,1418244233683.194644,51,155,170,20
408854,1418244233684.227644,51,155,170,20
408855,1418244233685.362644,51,155,170,20
408856,1418244233686.361644,51,155,170,20
408857,1418244233687.348644,51,155,170,20
408858,1418244233688.380644,51,155,170,20
408859,1418244233689.540644,51,155,170,20
