Sample,X(ms) [10.12.2014 20:53:31 981 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
211049,1418245053280.365075,66,157,740,60
211050,1418245053281.410075,66,157,740,60
211051,1418245053282.450075,66,157,740,60
211052,1418245053283.516075,66,157,740,60
211053,1418245053284.565075,66,157,740,60
211054,1418245053285.625075,66,157,740,60
211055,1418245053286.650075,66,157,740,60
211056,1418245053287.734075,66,157,740,60
211057,1418245053288.730075,66,157,740,60
211058,1418245053289.825075,66,157,740,60
211059,1418245053290.894075,66,157,740,60
211060,1418245053291.878075,66,157,740,60
211061,1418245053292.896075,66,157,740,60
211062,1418245053293.990075,66,157,740,60
211063,1418245053295.118075,66,157,740,60
211064,1418245053296.042075,66,157,740,60
211065,1418245053297.107075,67,157,740,60
211066,1418245053298.144075,67,157,740,60
211067,1418245053299.286075,67,157,740,60
211068,1418245053300.232075,67,157,740,60
211069,1418245053301.269075,67,157,740,60
211070,1418245053302.284075,67,157,740,60
211071,1418245053303.351075,67,157,740,60
211072,1418245053304.392075,67,157,740,60
211073,1418245053305.516075,67,157,740,60
211074,1418245053306.544075,67,157,740,60
211075,1418245053307.620075,67,157,740,60
211076,1418245053308.731075,67,157,740,60
211077,1418245053309.721075,67,157,740,60
211078,1418245053310.825075,67,157,740,60
211079,1418245053311.783075,67,157,740,60
211080,1418245053312.808075,67,157,740,60
211081,1418245053313.918075,67,157,740,60
211082,1418245053314.983075,67,157,740,60
211083,1418245053315.963075,67,157,740,60
211084,1418245053316.995075,67,157,740,60
211085,1418245053318.025075,67,157,740,60
211086,1418245053319.257075,67,157,740,60
211087,1418245053320.175075,67,157,740,60
211088,1418245053321.256075,67,157,740,60
211089,1418245053322.302075,67,157,740,60
211090,1418245053323.425075,67,157,740,60
211091,1418245053324.642075,67,157,740,60
211092,1418245053325.648075,67,157,740,60
211093,1418245053326.724075,67,157,740,60
211094,1418245053327.750075,67,157,740,60
211095,1418245053328.775075,67,157,740,60
211096,1418245053329.872075,67,157,740,60
211097,1418245053330.923075,67,157,740,60
211098,1418245053331.926075,67,157,740,60
211099,1418245053332.954075,67,157,740,60
211100,1418245053333.985075,67,157,740,60
211101,1418245053335.186075,67,157,740,60
211102,1418245053336.090075,67,157,740,60
211103,1418245053337.109075,67,157,740,60
211104,1418245053338.160075,67,157,740,60
211105,1418245053339.333075,67,157,740,60
211106,1418245053340.255075,67,157,740,60
211107,1418245053341.335075,67,157,740,60
