Sample,X(ms) [11.12.2014 00:32:40 423 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
203219,1418258189528.138479,151,163,608,40
203220,1418258189529.241479,151,163,608,40
203221,1418258189530.203479,151,163,608,40
203222,1418258189531.254479,151,163,608,40
203223,1418258189532.281479,151,163,608,40
203224,1418258189533.330479,151,163,608,40
203225,1418258189534.384479,151,163,608,40
203226,1418258189535.472479,151,163,608,40
203227,1418258189536.475479,151,163,608,40
203228,1418258189537.512479,151,163,608,40
203229,1418258189538.589479,151,163,608,40
203230,1418258189539.690479,151,163,608,40
203231,1418258189540.661479,151,163,608,40
203232,1418258189541.699479,151,163,608,40
203233,1418258189543.041479,151,163,608,40
203234,1418258189544.497479,151,163,608,40
203235,1418258189547.830479,151,163,608,40
203236,1418258189549.162479,151,163,608,40
203237,1418258189550.372479,151,163,608,40
203238,1418258189552.255479,151,163,608,40
203239,1418258189554.150479,151,163,608,40
203240,1418258189555.523479,151,163,608,40
203241,1418258189557.339479,151,163,608,40
203242,1418258189558.672479,151,163,608,40
203243,1418258189560.545479,151,163,608,40
203244,1418258189561.851479,151,163,608,40
203245,1418258189563.707479,151,163,608,40
203246,1418258189565.055479,151,163,608,40
203247,1418258189566.845479,151,163,608,40
203248,1418258189568.180479,151,163,608,40
203249,1418258189569.432479,151,163,608,40
203250,1418258189571.356479,151,163,608,40
203251,1418258189573.235479,151,163,608,40
203252,1418258189574.598479,151,163,608,40
203253,1418258189576.475479,151,163,608,40
203254,1418258189577.786479,151,163,608,40
203255,1418258189578.818479,151,163,608,40
203256,1418258189579.446479,151,163,608,40
203257,1418258189580.475479,151,163,608,40
203258,1418258189581.491479,151,163,608,40
203259,1418258189582.575479,151,163,608,40
203260,1418258189583.594479,151,163,608,40
203261,1418258189585.814479,151,163,608,40
203262,1418258189587.077479,151,163,608,40
203263,1418258189588.991479,151,163,608,40
203264,1418258189590.271479,151,163,608,40
203265,1418258189592.172479,151,163,608,40
203266,1418258189593.398479,151,163,608,40
203267,1418258189595.035479,151,163,608,40
203268,1418258189595.847479,151,163,608,40
203269,1418258189596.750479,151,163,608,40
203270,1418258189597.773479,151,163,608,40
203271,1418258189598.935479,151,163,608,40
203272,1418258189599.894479,151,163,608,40
203273,1418258189600.874479,151,163,608,40
203274,1418258189601.937479,151,163,608,40
203275,1418258189602.964479,151,163,608,40
203276,1418258189604.045479,151,163,608,40
203277,1418258189605.131479,151,163,608,40
203278,1418258189606.104479,151,163,608,40
203279,1418258189607.118479,151,163,608,40
203280,1418258189608.248479,151,163,608,40
203281,1418258189609.322479,151,163,608,40
203282,1418258189610.326479,151,163,608,40
203283,1418258189611.384479,151,163,608,40
203284,1418258189612.412479,151,163,608,40
203285,1418258189613.602479,151,163,608,40
203286,1418258189614.536479,151,163,608,40
203287,1418258189615.573479,151,163,608,40
203288,1418258189616.646479,151,163,608,40
203289,1418258189617.673479,151,163,608,40
203290,1418258189618.943479,151,163,608,40
203291,1418258189619.888479,151,163,608,40
203292,1418258189620.854479,151,163,608,40
203293,1418258189621.917479,151,163,608,40
203294,1418258189622.937479,151,163,608,40
203295,1418258189624.033479,151,163,608,40
203296,1418258189625.182479,151,163,608,40
203297,1418258189626.059479,151,163,608,40
203298,1418258189627.107479,151,163,608,40
203299,1418258189628.217479,151,163,608,40
203300,1418258189629.348479,151,163,608,40
203301,1418258189630.365479,151,163,608,40
203302,1418258189631.387479,151,163,608,40
203303,1418258189632.486479,151,163,608,40
203304,1418258189633.513479,151,163,608,40
203305,1418258189634.528479,151,163,608,40
203306,1418258189635.597479,151,163,608,40
203307,1418258189636.642479,151,163,608,40
203308,1418258189637.658479,151,163,608,40
203309,1418258189638.819479,151,163,608,40
203310,1418258189639.890479,151,163,608,40
