Sample,X(ms) [11.12.2014 00:02:32 199 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
315197,1418256510112.549733,100,162,505,20
315198,1418256510113.643733,100,162,505,20
315199,1418256510114.576733,100,162,505,20
315200,1418256510115.610733,100,162,505,20
315201,1418256510116.720733,100,162,505,20
315202,1418256510117.712733,100,162,505,20
315203,1418256510118.875733,100,162,505,20
315204,1418256510119.811733,100,162,505,20
315205,1418256510120.874733,100,162,505,20
315206,1418256510121.883733,100,162,505,20
315207,1418256510122.905733,100,162,505,20
315208,1418256510123.958733,100,162,505,20
315209,1418256510125.140733,100,162,505,20
315210,1418256510126.116733,100,162,505,20
315211,1418256510127.144733,100,162,505,20
315212,1418256510128.325733,100,162,505,20
315213,1418256510129.288733,100,162,505,20
315214,1418256510130.328733,100,162,505,20
315215,1418256510132.964733,100,162,505,20
315216,1418256510134.292733,100,162,505,20
315217,1418256510136.334733,100,162,505,20
315218,1418256510137.629733,100,162,505,20
315219,1418256510139.600733,100,162,505,20
315220,1418256510140.514733,100,162,505,20
315221,1418256510141.282733,100,162,505,20
315222,1418256510142.317733,100,162,505,20
315223,1418256510144.053733,100,162,505,20
315224,1418256510144.822733,100,162,505,20
315225,1418256510145.715733,100,162,505,20
315226,1418256510146.785733,100,162,505,20
315227,1418256510147.789733,100,162,505,20
315228,1418256510149.034733,100,162,505,20
315229,1418256510149.886733,100,162,505,20
315230,1418256510150.932733,100,162,505,20
315231,1418256510151.971733,100,162,505,20
315232,1418256510153.254733,100,162,505,20
315233,1418256510154.202733,100,162,505,20
315234,1418256510155.308733,100,162,505,20
315235,1418256510156.296733,100,162,505,20
315236,1418256510157.312733,100,162,505,20
315237,1418256510158.456733,100,162,505,20
315238,1418256510159.432733,100,162,505,20
315239,1418256510160.519733,100,162,505,20
315240,1418256510163.172733,100,162,505,20
315241,1418256510165.112733,100,162,505,20
315242,1418256510166.401733,100,162,505,20
315243,1418256510168.365733,100,162,505,20
315244,1418256510169.973733,100,162,505,20
315245,1418256510170.617733,100,162,505,20
315246,1418256510171.652733,100,162,505,20
315247,1418256510172.775733,100,162,505,20
315248,1418256510173.697733,100,162,505,20
315249,1418256510174.927733,100,162,505,20
315250,1418256510175.819733,100,162,505,20
315251,1418256510176.932733,100,162,505,20
315252,1418256510177.917733,100,162,505,20
315253,1418256510179.111733,100,162,505,20
315254,1418256510180.012733,100,162,505,20
315255,1418256510181.053733,100,162,505,20
315256,1418256510182.114733,100,162,505,20
315257,1418256510183.137733,100,162,505,20
315258,1418256510184.180733,100,162,505,20
315259,1418256510185.318733,100,162,505,20
315260,1418256510186.320733,100,162,505,20
315261,1418256510187.385733,100,162,505,20
315262,1418256510188.625733,100,162,505,20
315263,1418256510189.490733,100,162,505,20
315264,1418256510190.521733,100,162,505,20
315265,1418256510191.566733,100,162,505,20
315266,1418256510192.707733,100,162,505,20
315267,1418256510193.661733,100,162,505,20
315268,1418256510194.772733,100,162,505,20
315269,1418256510195.766733,100,162,505,20
315270,1418256510196.846733,100,162,505,20
315271,1418256510197.823733,100,162,505,20
315272,1418256510198.998733,100,162,505,20
315273,1418256510199.954733,100,162,505,20
315274,1418256510201.025733,100,162,505,20
315275,1418256510202.009733,100,162,505,20
315276,1418256510203.052733,100,162,505,20
315277,1418256510204.109733,100,162,505,20
315278,1418256510205.241733,100,162,505,20
315279,1418256510206.199733,100,162,505,20
315280,1418256510207.256733,100,162,505,20
315281,1418256510208.302733,100,162,505,20
315282,1418256510209.381733,100,162,505,20
315283,1418256510210.375733,100,162,505,20
315284,1418256510211.436733,100,162,505,20
315285,1418256510212.594733,100,162,505,20
315286,1418256510213.665733,100,162,505,20
315287,1418256510214.588733,100,162,505,20
315288,1418256510215.634733,100,162,505,20
315289,1418256510216.734733,100,162,505,20
315290,1418256510217.707733,100,162,505,20
315291,1418256510219.053733,100,162,505,20
315292,1418256510219.858733,100,162,505,20
315293,1418256510220.919733,100,162,505,20
315294,1418256510221.925733,100,162,505,20
315295,1418256510222.960733,100,162,505,20
315296,1418256510224.007733,100,162,505,20
315297,1418256510225.157733,100,162,505,20
315298,1418256510226.110733,100,162,505,20
315299,1418256510227.147733,100,162,505,20
315300,1418256510228.212733,100,162,505,20
315301,1418256510230.858733,100,162,505,20
315302,1418256510232.783733,100,162,505,20
315303,1418256510234.003733,100,162,505,20
315304,1418256510235.896733,100,162,505,20
315305,1418256510237.117733,100,162,505,20
315306,1418256510239.024733,100,162,505,20
315307,1418256510240.317733,100,162,505,20
315308,1418256510242.252733,100,162,505,20
315309,1418256510244.082733,100,162,505,20
315310,1418256510244.942733,100,162,505,20
315311,1418256510245.775733,100,162,505,20
315312,1418256510246.819733,100,162,505,20
315313,1418256510247.859733,100,162,505,20
315314,1418256510249.102733,100,162,505,20
315315,1418256510249.962733,100,162,505,20
315316,1418256510251.008733,100,162,505,20
315317,1418256510252.041733,100,162,505,20
315318,1418256510254.776733,100,162,505,20
315319,1418256510256.639733,100,162,505,20
315320,1418256510257.925733,100,162,505,20
315321,1418256510259.841733,100,162,505,20
315322,1418256510261.085733,100,162,505,20
315323,1418256510263.005733,100,162,505,20
315324,1418256510264.268733,100,162,505,20
315325,1418256510266.216733,100,162,505,20
315326,1418256510267.445733,100,162,505,20
315327,1418256510268.818733,100,162,505,20
315328,1418256510269.598733,100,162,505,20
315329,1418256510270.674733,100,162,505,20
315330,1418256510271.667733,100,162,505,20
315331,1418256510274.420733,100,162,505,20
315332,1418256510275.715733,100,162,505,20
315333,1418256510277.664733,100,162,505,20
315334,1418256510278.973733,100,162,505,20
315335,1418256510280.857733,100,162,505,20
315336,1418256510282.117733,100,162,505,20
315337,1418256510283.614733,100,162,505,20
315338,1418256510284.331733,100,162,505,20
315339,1418256510285.395733,100,162,505,20
315340,1418256510286.413733,100,162,505,20
315341,1418256510287.495733,100,162,505,20
315342,1418256510288.602733,100,162,505,20
315343,1418256510289.700733,100,162,505,20
315344,1418256510290.735733,100,162,505,20
315345,1418256510291.756733,100,162,505,20
315346,1418256510292.849733,100,162,505,20
315347,1418256510293.885733,100,162,505,20
315348,1418256510294.978733,100,162,505,20
315349,1418256510295.947733,100,162,505,20
315350,1418256510297.013733,100,162,505,20
315351,1418256510298.026733,100,162,505,20
