Sample,X(ms) [11.12.2014 00:44:43 724 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
521470,1418259273095.169035,152,163,799,80
521471,1418259273095.997035,152,163,799,80
521472,1418259273097.037035,152,163,799,80
521473,1418259273098.074035,152,163,799,80
521474,1418259273099.264035,152,163,799,80
521475,1418259273100.152035,152,163,799,80
521476,1418259273101.244035,152,163,799,80
521477,1418259273102.272035,152,163,799,80
521478,1418259273103.343035,152,163,799,80
521479,1418259273104.365035,152,163,799,80
521480,1418259273105.429035,152,163,799,80
521481,1418259273106.474035,152,163,799,80
521482,1418259273107.517035,152,163,799,80
521483,1418259273108.520035,152,163,799,80
521484,1418259273109.616035,152,163,799,80
521485,1418259273110.614035,152,163,799,80
521486,1418259273111.671035,152,163,799,80
521487,1418259273112.685035,152,163,799,80
521488,1418259273113.845035,152,163,799,80
521489,1418259273114.901035,152,163,799,80
521490,1418259273115.828035,152,163,799,80
521491,1418259273116.874035,152,163,799,80
521492,1418259273117.987035,152,163,799,80
521493,1418259273119.198035,152,163,799,80
521494,1418259273120.036035,152,163,799,80
521495,1418259273121.044035,152,163,799,80
521496,1418259273122.092035,152,163,799,80
521497,1418259273123.238035,152,163,799,80
521498,1418259273124.209035,152,163,799,80
521499,1418259273125.343035,152,163,799,80
521500,1418259273126.335035,152,163,799,80
521501,1418259273127.456035,152,163,799,80
521502,1418259273128.615035,152,163,799,80
521503,1418259273129.545035,152,163,799,80
521504,1418259273130.548035,152,163,799,80
521505,1418259273131.596035,152,163,799,80
521506,1418259273132.653035,152,163,799,80
521507,1418259273133.694035,152,163,799,80
521508,1418259273134.863035,152,163,799,80
521509,1418259273135.837035,152,163,799,80
521510,1418259273136.800035,152,163,799,80
521511,1418259273137.848035,152,163,799,80
521512,1418259273139.110035,152,163,799,80
521513,1418259273139.970035,152,163,799,80
521514,1418259273141.004035,152,163,799,80
521515,1418259273142.025035,152,163,799,80
521516,1418259273144.023035,152,163,799,80
521517,1418259273144.646035,152,163,799,80
521518,1418259273145.682035,152,163,799,80
521519,1418259273146.706035,152,163,799,80
521520,1418259273147.795035,152,163,799,80
521521,1418259273148.929035,152,163,799,80
521522,1418259273149.858035,152,163,799,80
521523,1418259273150.878035,152,163,799,80
521524,1418259273151.946035,152,163,799,80
521525,1418259273152.992035,152,163,799,80
521526,1418259273154.037035,152,163,799,80
521527,1418259273155.247035,152,163,799,80
521528,1418259273156.108035,152,163,799,80
521529,1418259273157.167035,152,163,799,80
