Sample,X(ms) [10.12.2014 20:59:01 037 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
282427,1418245464560.446039,60,158,906,79
282428,1418245464561.610039,60,158,906,79
282429,1418245464562.759039,60,158,906,79
282430,1418245464564.611039,60,158,906,79
282431,1418245464565.875039,60,158,906,79
282432,1418245464566.996039,60,158,906,79
282433,1418245464568.589039,60,158,906,79
282434,1418245464569.455039,60,158,906,79
282435,1418245464570.220039,60,158,906,79
282436,1418245464571.311039,60,158,906,79
282437,1418245464572.295039,60,158,906,79
282438,1418245464573.314039,60,158,906,79
282439,1418245464574.375039,60,158,906,79
282440,1418245464575.564039,60,158,906,79
282441,1418245464576.439039,60,158,906,79
282442,1418245464577.488039,60,158,906,79
282443,1418245464578.643039,60,158,906,79
282444,1418245464579.630039,60,158,906,79
282445,1418245464580.626039,60,158,906,79
282446,1418245464581.692039,60,158,906,79
282447,1418245464582.726039,60,158,906,79
282448,1418245464583.791039,60,158,906,79
282449,1418245464584.821039,60,158,906,79
282450,1418245464587.571039,60,158,906,79
282451,1418245464589.333039,60,158,906,79
282452,1418245464590.548039,60,158,906,79
282453,1418245464591.680039,60,158,906,79
282454,1418245464592.863039,60,158,906,79
282455,1418245464594.636039,60,158,906,79
282456,1418245464595.901039,60,158,906,79
282457,1418245464597.003039,60,158,906,79
282458,1418245464598.765039,60,158,906,79
282459,1418245464600.018039,60,158,906,79
282460,1418245464600.805039,60,158,906,79
282461,1418245464601.642039,60,158,906,79
282462,1418245464602.638039,60,158,906,79
282463,1418245464603.712039,60,158,906,79
282464,1418245464604.871039,60,158,906,79
282465,1418245464605.922039,60,158,906,79
282466,1418245464606.865039,60,158,906,79
282467,1418245464607.916039,60,158,906,79
282468,1418245464609.151039,60,158,906,79
282469,1418245464610.063039,60,158,906,79
282470,1418245464611.194039,60,158,906,79
282471,1418245464612.147039,60,158,906,79
282472,1418245464613.185039,60,158,906,79
282473,1418245464614.248039,60,158,906,79
282474,1418245464615.409039,60,158,906,79
282475,1418245464616.301039,59,158,906,79
282476,1418245464617.360039,59,158,906,79
282477,1418245464618.409039,59,158,906,79
282478,1418245464619.565039,59,158,906,79
282479,1418245464620.546039,59,158,906,79
282480,1418245464621.593039,59,158,906,79
282481,1418245464622.617039,59,158,906,79
282482,1418245464624.385039,59,158,906,79
282483,1418245464624.924039,59,158,906,79
282484,1418245464625.985039,59,158,906,79
282485,1418245464626.992039,59,158,906,79
282486,1418245464628.039039,59,158,906,79
282487,1418245464629.207039,59,158,906,79
282488,1418245464630.146039,59,158,906,79
282489,1418245464631.244039,59,158,906,79
282490,1418245464632.216039,59,158,906,79
282491,1418245464633.281039,59,158,906,79
282492,1418245464634.283039,59,158,906,79
282493,1418245464635.448039,59,158,906,79
282494,1418245464636.396039,59,158,906,79
282495,1418245464637.394039,59,158,906,79
282496,1418245464638.553039,59,158,906,79
282497,1418245464639.667039,59,158,906,79
282498,1418245464640.582039,59,158,906,79
282499,1418245464641.604039,59,158,906,79
282500,1418245464642.647039,59,158,906,79
282501,1418245464643.690039,59,158,906,79
282502,1418245464644.722039,59,158,906,79
282503,1418245464645.804039,59,158,906,79
282504,1418245464646.850039,59,158,906,79
282505,1418245464647.868039,59,158,906,79
282506,1418245464651.173039,59,158,906,79
282507,1418245464652.389039,59,158,906,79
282508,1418245464654.184039,59,158,906,79
282509,1418245464655.434039,59,158,906,79
282510,1418245464656.301039,59,158,906,79
282511,1418245464657.024039,59,158,906,79
282512,1418245464658.085039,59,158,906,79
282513,1418245464659.341039,59,158,906,79
282514,1418245464660.201039,59,158,906,79
282515,1418245464661.218039,59,158,906,79
282516,1418245464662.271039,59,158,906,79
282517,1418245464663.344039,59,158,906,79
282518,1418245464664.325039,59,158,906,79
282519,1418245464665.476039,59,158,906,79
282520,1418245464666.427039,59,158,906,79
282521,1418245464667.514039,59,158,906,79
282522,1418245464668.590039,59,158,906,79
282523,1418245464669.607039,59,158,906,79
282524,1418245464670.569039,59,158,906,79
282525,1418245464671.629039,59,158,906,79
282526,1418245464672.660039,59,158,906,79
282527,1418245464673.713039,59,158,906,79
282528,1418245464674.761039,59,158,906,79
282529,1418245464675.837039,59,158,906,79
282530,1418245464676.862039,59,158,906,79
282531,1418245464677.906039,59,158,906,79
282532,1418245464679.170039,59,158,906,79
282533,1418245464680.035039,59,158,906,79
