Sample,X(ms) [29.01.2012 20:55:14 863 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
3,1327870515763.896740,106,200,200,0
4,1327870516063.897140,106,200,200,0
5,1327870516363.852620,105,200,200,0
6,1327870516663.885000,105,200,200,0
7,1327870516963.898080,104,200,200,0
8,1327870517263.901300,107,200,200,0
9,1327870517563.863000,106,200,200,0
10,1327870517863.897900,96,200,200,0
11,1327870518163.882980,95,200,200,0
12,1327870518463.910760,99,200,200,0
13,1327870518763.906980,98,200,200,0
14,1327870519063.905100,91,200,200,0
15,1327870519363.929160,84,200,200,0
16,1327870519663.875260,87,200,200,0
17,1327870519963.880040,91,200,200,0
18,1327870520263.904160,93,200,200,40
19,1327870520563.908940,89,200,200,40
20,1327870520863.877320,82,200,200,40
21,1327870521163.888280,76,200,200,40
22,1327870521463.909340,85,200,200,40
23,1327870521763.881040,89,200,200,40
24,1327870522063.887620,84,200,200,40
25,1327870522363.885020,79,200,200,40
26,1327870522663.943960,87,200,200,40
27,1327870522963.863780,95,200,200,40
28,1327870523263.896880,98,200,200,40
29,1327870523563.889100,93,200,200,40
30,1327870523863.889460,94,200,200,40
31,1327870524163.915820,95,200,200,40
32,1327870524463.886820,98,200,200,40
33,1327870524763.860460,98,200,200,40
34,1327870525063.903220,97,200,200,40
35,1327870525363.896720,94,200,200,40
36,1327870525663.908120,92,200,200,40
37,1327870525963.901820,95,200,200,40
38,1327870526263.882600,94,200,200,40
39,1327870526563.900460,91,200,200,40
40,1327870526863.886180,88,200,200,40
41,1327870527163.884880,88,200,200,40
42,1327870527463.890120,89,200,200,40
43,1327870527763.883220,88,200,200,40
44,1327870528063.860700,70,200,200,40
45,1327870528363.867120,78,200,200,40
46,1327870528663.889580,103,200,200,40
47,1327870528963.880540,103,200,200,40
48,1327870529263.891880,95,200,200,40
49,1327870529563.863300,92,200,200,40
50,1327870529863.866300,94,200,200,40
51,1327870530163.895240,102,200,200,40
52,1327870530463.899720,104,200,200,40
53,1327870530763.869700,101,200,200,40
54,1327870531063.907480,103,200,200,40
55,1327870531363.887960,111,200,200,40
56,1327870531663.906660,110,200,200,40
57,1327870531963.865780,122,200,200,40
58,1327870532263.951540,116,200,200,40
59,1327870532563.887700,101,200,200,40
60,1327870532863.921640,104,200,200,40
61,1327870533163.902540,108,200,200,40
62,1327870533463.858580,107,200,200,40
63,1327870533763.916480,106,200,200,40
64,1327870534063.886460,103,200,200,40
65,1327870534363.884200,99,200,200,40
66,1327870534663.916920,98,200,200,40
67,1327870534963.894040,101,200,200,40
68,1327870535263.933460,104,200,201,40
69,1327870535563.909140,101,200,201,40
70,1327870535863.891320,97,200,201,40
71,1327870536163.941640,98,200,201,40
72,1327870536463.901440,102,200,201,40
73,1327870536763.918180,104,200,201,40
74,1327870537063.912080,103,200,201,40
75,1327870537363.911960,103,200,202,40
76,1327870537663.876000,105,200,202,40
77,1327870537963.923920,107,200,202,40
78,1327870538263.897100,108,200,202,40
79,1327870538563.905400,103,200,202,40
80,1327870538863.927320,97,200,202,40
81,1327870539163.938140,96,200,203,40
82,1327870539463.909940,98,200,203,40
83,1327870539763.928740,100,200,203,40
84,1327870540063.938700,99,200,204,40
85,1327870540363.933300,96,200,204,40
86,1327870540663.919840,97,200,204,40
87,1327870540963.912220,99,200,205,40
88,1327870541263.925420,100,200,205,40
89,1327870541563.897540,95,200,206,40
90,1327870541863.890400,71,200,206,40
91,1327870542163.909900,97,200,207,40
92,1327870542463.908900,116,200,208,40
93,1327870542763.950420,103,200,209,40
94,1327870543063.913720,99,200,210,40
95,1327870543363.899940,97,200,211,40
96,1327870543663.938780,99,200,212,40
97,1327870543963.891160,105,200,213,40
98,1327870544263.897040,107,200,214,40
99,1327870544563.910160,105,200,215,40
100,1327870544863.890720,99,200,216,40
101,1327870545163.927680,96,200,217,40
102,1327870545463.924060,101,200,218,40
103,1327870545763.915820,102,200,220,40
104,1327870546063.912980,89,200,221,40
105,1327870546363.871780,84,200,222,40
106,1327870546663.885740,105,200,223,40
107,1327870546963.889260,109,200,224,40
108,1327870547263.890860,102,200,226,40
109,1327870547563.932900,97,200,227,40
110,1327870547863.903600,96,200,228,40
111,1327870548163.920240,99,200,229,40
112,1327870548463.895640,103,200,230,40
113,1327870548763.884960,104,200,231,40
114,1327870549063.930020,101,200,232,40
115,1327870549363.943760,98,200,233,40
116,1327870549663.925400,96,200,234,40
117,1327870549963.903620,99,200,235,40
118,1327870550263.904960,101,200,235,40
119,1327870550563.917920,99,200,237,40
120,1327870550863.869400,77,200,238,40
121,1327870551163.908080,76,200,240,40
122,1327870551463.903100,111,200,242,40
123,1327870551763.865160,106,200,244,40
124,1327870552063.905060,94,200,246,40
125,1327870552363.906620,93,200,248,40
126,1327870552663.899100,92,200,250,40
127,1327870552963.881680,97,200,252,40
128,1327870553263.917220,101,200,253,40
129,1327870553563.899460,102,200,255,40
130,1327870553863.894420,99,200,256,40
131,1327870554163.906340,92,200,257,40
132,1327870554463.894620,93,200,258,40
133,1327870554763.901000,98,200,259,40
134,1327870555063.889840,102,200,260,40
135,1327870555363.906540,105,200,261,40
136,1327870555663.892440,118,200,262,40
137,1327870555963.899560,98,200,263,40
138,1327870556263.870360,86,200,264,40
139,1327870556563.890400,91,200,265,40
140,1327870556863.908300,99,200,266,40
141,1327870557163.901180,115,200,267,40
142,1327870557463.879180,105,200,268,40
143,1327870557763.890440,96,200,269,40
144,1327870558063.898620,94,200,269,40
145,1327870558363.959200,106,200,270,40
146,1327870558663.895140,108,200,271,40
147,1327870558963.879000,96,200,272,40
148,1327870559263.901320,100,200,273,40
149,1327870559563.896140,100,200,273,40
150,1327870559863.885380,101,200,274,40
151,1327870560163.925080,104,200,275,40
152,1327870560463.892100,103,200,277,40
153,1327870560763.877720,101,200,279,40
154,1327870561063.885620,117,200,281,40
155,1327870561363.877320,115,200,283,40
156,1327870561663.887460,89,200,284,40
157,1327870561963.890500,98,200,286,40
158,1327870562263.894140,106,200,288,40
159,1327870562563.918260,106,200,289,40
160,1327870562863.929320,107,200,290,40
161,1327870563163.904940,99,200,292,40
162,1327870563463.904640,94,200,293,40
