Sample,X(ms) [29.01.2012 21:37:04 663 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
3,1327873025563.900580,373,144,145,0
4,1327873025863.879480,368,144,145,0
5,1327873026163.919000,357,144,145,0
6,1327873026463.907860,344,144,145,0
7,1327873026764.180380,335,144,145,0
8,1327873027063.908980,331,144,145,0
9,1327873027363.896140,327,144,145,0
10,1327873027663.879020,323,144,145,0
11,1327873027963.920480,315,144,145,0
12,1327873028263.891960,310,144,145,0
13,1327873028563.877360,306,144,145,0
14,1327873028863.865540,302,144,145,0
15,1327873029163.891860,295,144,145,0
16,1327873029463.902440,288,144,145,0
17,1327873029763.906180,283,144,145,0
18,1327873030063.910080,280,144,145,0
19,1327873030363.874200,276,144,145,0
20,1327873030663.876920,272,144,145,0
21,1327873030963.874020,269,144,145,0
22,1327873031263.878320,265,144,145,0
23,1327873031563.865940,261,144,145,0
24,1327873031863.948780,258,144,145,0
25,1327873032163.904180,255,144,145,0
26,1327873032463.882080,252,144,145,0
27,1327873032763.886100,249,144,145,0
28,1327873033063.860240,245,144,145,0
29,1327873033363.859940,245,144,145,0
30,1327873033663.854820,245,144,145,0
31,1327873033963.854180,241,144,145,0
32,1327873034263.895900,238,144,145,0
33,1327873034563.872700,236,144,145,0
34,1327873034863.866120,235,144,145,0
35,1327873035163.880180,233,144,145,0
36,1327873035463.884940,230,144,145,60
37,1327873035763.883580,229,144,145,60
38,1327873036063.851420,228,144,145,60
39,1327873036363.852960,226,144,145,60
40,1327873036663.877540,224,144,145,60
41,1327873036963.853080,224,144,145,60
42,1327873037263.898740,224,144,145,60
43,1327873037563.850720,223,144,145,60
44,1327873037863.903000,221,144,145,60
45,1327873038163.869380,220,144,145,60
46,1327873038463.868540,218,144,145,60
47,1327873038763.862540,217,144,145,60
48,1327873039063.864660,216,144,145,60
49,1327873039363.869740,216,144,145,60
50,1327873039663.866080,216,144,145,60
51,1327873039963.833300,215,144,145,60
52,1327873040263.871840,211,144,145,60
53,1327873040563.869220,209,144,145,60
54,1327873040863.866880,209,144,145,60
55,1327873041163.874640,209,144,145,60
56,1327873041463.852000,206,144,145,60
57,1327873041763.847420,205,144,145,60
58,1327873042063.829600,206,144,145,60
59,1327873042363.865760,206,144,145,60
60,1327873042663.885220,206,144,145,60
61,1327873042963.890680,206,144,145,60
62,1327873043263.866740,205,144,145,60
63,1327873043563.870440,206,144,145,60
64,1327873043863.888400,206,144,145,60
65,1327873044163.929640,206,144,145,60
66,1327873044463.948060,206,144,145,60
67,1327873044763.870740,205,144,145,60
68,1327873045063.886680,205,144,145,60
69,1327873045363.875660,205,144,145,60
70,1327873045663.853940,205,144,145,60
71,1327873045963.860180,205,144,145,60
72,1327873046263.873320,205,144,145,60
73,1327873046563.856980,205,144,145,60
74,1327873046863.896760,205,144,145,60
75,1327873047163.886680,205,144,145,60
76,1327873047463.852760,206,144,145,60
77,1327873047763.866080,205,144,145,60
