Sample,X(ms) [09.01.2012 00:19:54 963 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
85,1326068420463.827200,150,145,146,20
86,1326068420763.880220,152,145,146,20
87,1326068421063.830460,150,145,146,20
88,1326068421363.851260,149,145,146,20
89,1326068421663.827200,150,145,146,20
90,1326068421963.856400,151,145,146,20
91,1326068422263.861600,152,145,146,20
92,1326068422563.855660,151,145,146,20
93,1326068422863.849200,150,145,146,20
94,1326068423163.814060,150,145,146,20
95,1326068423463.906080,148,145,146,20
96,1326068423763.845620,143,145,146,20
97,1326068424063.821780,149,145,146,20
98,1326068424363.840800,150,145,146,20
99,1326068424663.819480,148,145,146,20
100,1326068424963.849160,143,145,146,20
101,1326068425263.830240,144,145,146,20
102,1326068425563.903640,147,145,146,20
103,1326068425863.852460,147,145,146,20
104,1326068426163.832960,147,145,146,20
105,1326068426463.852060,147,145,146,20
106,1326068426763.835240,146,145,146,20
107,1326068427063.849100,148,145,146,20
108,1326068427363.843900,148,145,146,20
109,1326068427663.823900,149,145,146,20
110,1326068427963.828980,148,145,146,20
111,1326068428263.834660,147,145,146,20
112,1326068428563.816180,148,145,146,20
113,1326068428863.844760,148,145,146,20
114,1326068429163.860260,151,145,146,20
115,1326068429463.849640,148,145,146,20
116,1326068429763.841240,146,145,146,20
117,1326068430063.827940,150,145,146,20
118,1326068430363.851260,150,145,146,20
119,1326068430663.848480,151,145,146,20
120,1326068430963.850820,152,145,146,20
121,1326068431263.842260,161,145,146,20
122,1326068431563.841760,156,145,146,20
123,1326068431863.898340,149,145,147,20
124,1326068432163.865200,150,145,147,20
125,1326068432463.807040,153,145,147,20
126,1326068432763.856900,154,145,147,20
127,1326068433063.844720,153,145,147,20
128,1326068433363.876080,153,145,147,20
129,1326068433663.841700,151,145,147,20
130,1326068433963.826780,151,145,147,20
131,1326068434263.857020,153,145,147,20
132,1326068434563.832240,152,145,148,20
