Sample,X(ms) [09.01.2012 00:39:12 863 UTC],"Heater_Flow_In[%IW112]","Heater_Tin_In[%IW103]","Heater_Tout_In[%IW122]","Signals_DB.Heater_PWR"
2,1326069553463.934400,196,143,144,0
3,1326069553763.891040,203,143,144,0
4,1326069554063.864900,203,143,144,0
5,1326069554363.934920,197,143,144,0
6,1326069554663.908620,201,143,144,0
7,1326069554963.905440,204,143,144,0
8,1326069555263.905560,206,143,144,0
9,1326069555563.923480,205,143,144,0
10,1326069555863.954100,200,143,144,0
11,1326069556163.918600,197,143,144,0
12,1326069556463.915720,198,143,144,0
13,1326069556763.911940,198,143,144,0
14,1326069557063.988880,198,143,144,0
15,1326069557363.927800,196,143,144,0
16,1326069557663.885440,196,143,144,0
17,1326069557963.914360,197,143,144,0
18,1326069558263.929760,198,143,144,0
19,1326069558563.907280,197,143,144,0
20,1326069558863.904420,195,143,144,0
21,1326069559163.895960,197,143,144,0
22,1326069559463.901280,201,143,144,0
23,1326069559763.987780,205,143,144,0
24,1326069560063.939400,205,143,144,0
25,1326069560363.928620,203,143,144,0
26,1326069560663.943820,202,143,144,0
27,1326069560963.916560,202,143,144,0
28,1326069561263.906500,203,143,144,0
29,1326069561563.922840,203,143,144,0
30,1326069561863.884080,203,143,144,0
31,1326069562163.871640,202,143,144,0
32,1326069562463.933480,202,143,144,0
33,1326069562763.913780,203,143,144,0
34,1326069563063.888660,203,143,144,0
35,1326069563363.917120,201,143,144,0
36,1326069563663.896900,198,143,144,0
37,1326069563963.863600,196,143,144,0
38,1326069564263.890520,197,143,144,0
39,1326069564563.879240,196,143,144,0
40,1326069564863.905460,196,143,144,0
41,1326069565163.912980,196,143,144,0
42,1326069565463.886480,197,143,144,0
43,1326069565763.886700,201,143,144,0
44,1326069566063.879100,203,143,144,0
45,1326069566363.922560,204,143,144,0
46,1326069566663.897200,202,143,144,0
47,1326069566963.901540,202,143,144,0
48,1326069567263.881640,201,143,144,0
49,1326069567563.910240,200,143,144,0
50,1326069567863.952460,198,143,144,0
51,1326069568163.873860,197,143,144,0
52,1326069568463.911400,197,143,144,0
53,1326069568763.927920,197,143,144,0
54,1326069569063.895220,199,143,144,0
55,1326069569363.896880,200,143,144,0
56,1326069569663.914740,202,143,144,0
57,1326069569963.874980,204,143,144,0
58,1326069570263.917060,204,143,144,0
59,1326069570563.941480,205,143,144,0
60,1326069570863.895160,203,143,144,0
61,1326069571163.882360,199,143,144,0
62,1326069571463.924180,197,143,144,0
63,1326069571763.894740,196,143,144,0
64,1326069572063.927720,196,143,144,0
65,1326069572363.963520,194,143,144,0
66,1326069572663.914880,193,143,144,0
67,1326069572963.935980,196,143,144,0
68,1326069573263.926100,199,143,144,0
69,1326069573563.916740,201,143,144,0
70,1326069573863.925200,202,143,144,0
71,1326069574163.932280,203,143,144,0
72,1326069574463.903980,204,143,144,0
73,1326069574763.920140,205,143,144,0
74,1326069575063.929420,207,143,144,0
75,1326069575363.897300,205,143,144,0
76,1326069575663.895980,202,143,144,0
77,1326069575964.202440,200,143,144,0
78,1326069576263.909420,200,143,144,0
79,1326069576563.945080,199,143,144,0
80,1326069576863.955960,196,143,144,0
81,1326069577163.925920,197,143,144,0
82,1326069577463.901540,197,143,144,0
83,1326069577763.987000,197,143,144,20
84,1326069578063.925320,197,143,144,20
85,1326069578363.908480,198,143,144,20
86,1326069578663.930680,203,143,144,20
87,1326069578963.898360,191,143,144,20
88,1326069579263.935220,197,143,144,20
89,1326069579563.947640,203,143,144,20
90,1326069579863.913860,204,143,144,20
91,1326069580163.926840,200,143,144,20
92,1326069580463.938780,197,143,144,20
93,1326069580763.920220,198,143,144,20
94,1326069581063.895040,198,143,144,20
95,1326069581363.923160,200,143,144,20
